"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Asteraceae.undiff.","Cupressaceae","Ericaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Populus","Amaranthaceae","Poaceae","Rosaceae","Artemisia","Cyperaceae","Corylus","Rhamnaceae.Vitaceae","Lamiaceae","Fabaceae","Juglans","Caryophyllaceae","Plantago","Abies"
191,NA,205,1,19,7,1,2,4,15,4,2,3,2,58,5,8,1,11,1,10,7,2,35,4,1,1,1,0,0,0,0,0,0,0,0,0,0
196,NA,103,2,11,1,1,0,0,6,4,0,0,0,42,1,0,1,2,2,4,0,0,22,0,0,2,0,1,1,0,0,0,0,0,0,0,0
206,NA,201,1,14,2,0,2,0,20,1,2,2,0,63,2,3,5,6,3,5,7,2,51,4,0,3,0,0,1,1,1,0,0,0,0,0,0
216,NA,208,2,4,0,0,0,4,7,0,0,0,0,52,1,0,1,3,0,2,0,0,129,0,1,2,0,0,0,0,0,0,0,0,0,0,0
226,NA,210,3,5,0,0,0,0,7,2,0,10,0,42,0,2,1,10,1,6,0,0,116,0,0,2,0,1,0,2,0,0,0,0,0,0,0
231,1188,198,1,11,1,0,4,4,19,0,0,1,2,78,2,6,3,12,1,8,5,1,31,4,1,1,0,2,0,0,0,0,0,0,0,0,0
236,1257,201,0,14,2,1,0,0,48,2,0,0,0,97,2,8,2,11,2,3,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0
246,1396,204,2,14,3,0,0,0,38,1,0,1,0,98,3,2,1,7,3,7,6,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,1535,200,1,8,3,1,0,4,48,0,2,0,1,80,1,6,2,9,0,9,2,0,19,2,0,1,0,0,0,0,0,1,0,0,0,0,0
266,1673,202,0,15,4,0,3,4,24,2,0,1,0,91,1,3,1,12,1,10,2,0,18,3,1,1,0,1,0,3,1,0,0,0,0,0,0
276,1812,208,2,4,2,0,0,0,46,2,0,0,0,95,3,5,2,8,2,8,5,0,18,0,0,1,1,1,1,0,0,0,1,1,0,0,0
286,1951,216,5,19,2,1,0,0,32,1,0,0,1,105,5,2,0,8,0,7,8,1,14,1,1,1,0,0,0,1,0,0,0,1,0,0,0
296,2090,211,0,17,1,2,0,0,28,1,0,0,0,134,3,4,2,5,0,5,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2228,201,1,11,2,1,0,0,28,3,0,0,0,113,2,1,3,12,0,4,6,0,8,2,0,0,0,0,1,0,0,3,0,0,0,0,0
316,2367,202,1,13,0,1,0,0,19,2,1,0,0,132,1,3,0,6,0,4,9,0,4,2,1,0,0,2,1,0,0,0,0,0,0,0,0
326,2506,223,0,6,4,2,0,0,21,2,2,0,2,112,8,3,5,15,1,9,11,0,12,2,1,0,1,0,1,3,0,0,0,0,0,0,0
336,2644,202,2,6,0,3,0,0,15,2,0,0,0,127,2,1,1,13,2,5,4,1,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0
346,2783,203,0,13,1,1,0,0,21,0,0,0,0,107,5,4,0,16,0,15,4,1,11,0,0,2,0,0,0,1,0,0,1,0,0,0,0
356,2922,210,0,19,1,2,1,0,26,1,0,0,0,119,3,3,0,7,2,5,7,0,8,2,2,0,0,0,0,1,0,0,0,1,0,0,0
366,3061,240,4,15,1,0,0,0,29,0,0,0,1,136,6,2,1,12,2,3,5,0,14,5,1,2,0,0,0,1,0,0,0,0,0,0,0
376,3199,200,1,13,0,4,0,0,15,0,0,0,0,132,2,2,3,9,1,5,2,0,6,2,2,0,0,0,0,1,0,0,0,0,0,0,0
386,3338,201,0,7,2,0,0,0,32,2,0,0,0,92,2,7,0,14,1,12,10,1,13,3,1,1,0,1,0,0,0,0,0,0,0,0,0
396,3477,201,0,4,3,1,1,0,19,0,2,0,0,127,2,7,0,12,0,7,9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
406,3615,211,2,7,4,0,1,0,36,1,3,0,0,96,2,3,1,14,0,8,10,3,10,2,0,3,0,1,1,1,0,0,1,1,0,0,0
416,3754,202,0,12,1,2,0,0,11,2,0,0,2,104,2,5,0,25,2,7,8,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,3893,201,1,11,4,2,0,0,24,2,0,0,1,84,2,2,3,19,1,18,10,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0
436,4032,205,1,15,0,0,0,0,13,1,0,0,0,124,2,3,0,6,1,10,9,0,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0
446,4170,223,1,6,7,0,1,0,27,0,0,0,0,118,2,5,0,16,1,28,2,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0
456,4309,205,0,6,0,2,0,0,19,1,0,0,0,137,2,2,0,15,2,6,4,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
466,4448,201,1,15,8,1,3,0,18,4,0,0,2,94,2,2,0,13,1,17,8,2,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0
476,4586,191,3,12,1,0,1,0,13,0,0,0,0,135,1,2,0,8,0,3,2,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0
486,4743,202,2,10,5,0,0,0,33,2,2,0,1,78,3,2,0,35,0,12,2,2,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0
496,4922,205,1,8,0,2,0,0,27,0,0,0,0,120,0,7,0,22,2,6,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
506,5101,208,3,5,6,2,0,0,42,1,0,0,2,76,3,7,3,33,3,9,1,1,4,3,1,2,0,0,1,0,0,0,0,0,0,0,0
516,5280,207,0,8,0,1,0,0,23,0,0,0,0,116,2,0,2,30,0,8,6,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
526,5458,205,4,6,4,0,0,0,23,1,0,0,1,88,5,5,0,25,1,9,5,2,14,5,2,1,1,1,0,0,0,0,0,0,1,1,0
536,5637,202,0,6,0,1,0,0,23,0,0,0,0,123,2,4,0,30,1,4,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
546,5816,202,0,4,7,1,0,0,31,4,0,0,3,90,3,2,0,26,2,14,2,0,7,2,2,1,0,0,0,0,0,0,0,1,0,0,0
556,5995,200,2,6,0,0,0,0,23,0,0,0,0,126,1,3,0,16,1,5,5,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
566,6174,202,0,10,1,0,0,0,22,2,0,0,1,79,6,0,0,33,0,20,6,0,17,1,0,3,0,0,0,0,0,1,0,0,0,0,0
576,6352,204,2,7,3,0,0,0,27,0,0,0,1,116,1,4,0,20,1,12,2,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0
586,6531,203,1,7,6,0,1,0,13,1,1,0,0,78,0,5,0,38,0,19,2,2,19,2,1,3,1,1,1,1,0,0,0,0,0,0,0
596,6710,204,1,8,1,0,2,0,10,0,0,0,0,127,1,0,1,26,3,3,7,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0
606,6889,202,1,13,2,0,0,0,15,2,0,0,0,62,5,10,2,47,2,14,7,2,10,4,1,3,0,0,0,0,0,0,0,0,0,0,0
616,7068,201,2,15,2,0,1,1,9,0,1,0,0,117,2,2,0,27,3,4,0,0,8,2,2,1,0,0,0,2,0,0,0,0,0,0,0
626,7246,205,0,20,8,0,0,0,15,0,0,0,0,73,6,6,1,23,0,21,6,0,23,0,0,2,0,0,1,0,0,0,0,0,0,0,0
636,7425,205,0,23,0,0,2,4,0,0,0,0,0,121,4,0,1,17,2,4,0,0,24,0,1,1,0,0,0,1,0,0,0,0,0,0,0
646,7604,210,3,11,7,0,1,0,16,0,0,1,0,60,5,3,3,27,0,27,2,1,39,2,0,1,1,0,0,0,0,0,0,0,0,0,0
656,7783,200,1,14,0,1,0,0,4,0,0,9,0,103,0,5,0,10,1,2,9,2,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0
666,7962,205,1,6,1,0,0,0,4,0,0,0,0,90,1,9,1,25,0,13,5,3,40,3,1,1,0,0,0,0,0,0,1,0,0,0,0
676,8140,201,1,14,0,0,2,0,6,0,2,0,1,98,5,8,0,16,1,5,4,2,31,2,1,0,0,0,1,1,0,0,0,0,0,0,0
686,8319,205,4,12,3,0,2,0,2,0,0,0,0,85,5,5,0,28,0,21,4,2,21,3,2,2,2,1,0,1,0,0,0,0,0,0,0
696,8498,200,2,18,1,0,1,0,11,0,2,1,0,98,2,11,0,16,2,3,1,1,26,0,1,1,0,0,0,1,0,0,0,0,1,0,0
706,8677,204,1,20,0,1,3,0,5,1,2,3,0,86,5,2,0,23,0,16,8,1,24,1,0,0,1,0,0,1,0,0,0,0,0,0,0
716,8856,204,3,19,1,2,0,0,6,0,0,1,0,83,2,4,0,11,1,6,5,2,56,0,0,0,0,0,0,2,0,0,0,0,0,0,0
726,9034,241,2,11,1,0,2,0,4,1,3,19,0,48,6,0,2,18,0,5,4,2,101,4,2,2,1,0,1,1,0,0,0,1,0,0,0
731,9124,209,0,14,0,0,1,0,3,0,2,4,0,105,3,2,1,16,0,2,5,1,41,3,0,1,0,1,1,1,0,0,0,1,1,0,0
736,9213,200,2,11,0,1,0,0,3,0,0,8,0,113,2,4,0,12,0,0,9,1,29,1,1,3,0,0,0,0,0,0,0,0,0,0,0
741,9303,202,3,19,1,0,2,0,2,0,7,7,0,95,5,3,0,17,1,2,5,1,22,4,0,1,0,2,2,0,0,0,1,0,0,0,0
746,9392,218,5,13,0,0,7,0,0,1,0,2,0,50,8,0,1,19,0,12,10,1,82,2,2,2,0,0,0,1,0,0,0,0,0,0,0
756,10000,217,1,8,0,0,0,0,1,0,0,8,0,52,2,1,0,7,2,5,1,1,123,1,2,2,0,0,0,0,0,0,0,0,0,0,0
766,10631,222,3,7,1,0,3,0,1,0,5,20,0,38,7,1,0,23,0,6,8,0,95,2,0,1,1,0,0,0,0,0,0,0,0,0,0
776,11262,225,0,6,3,1,0,0,0,0,0,4,0,26,2,1,0,10,1,3,2,0,165,0,0,1,0,0,0,0,0,0,0,0,0,0,0
786,NA,231,1,9,1,0,0,0,1,0,2,20,0,16,13,0,1,4,0,0,9,1,145,1,1,1,0,1,1,0,0,0,0,0,0,0,3
796,NA,207,2,11,2,0,0,0,0,0,0,11,0,27,1,0,0,10,0,1,6,0,133,0,0,1,0,1,0,0,0,0,0,0,0,0,1
807,NA,213,0,8,2,2,0,0,0,1,2,13,0,10,3,0,1,11,0,3,8,2,138,0,0,1,1,1,1,3,0,0,0,2,0,0,0
818,NA,212,1,5,1,0,0,0,0,1,0,16,0,17,1,0,0,2,0,0,4,0,159,0,0,2,0,0,0,0,0,0,0,0,0,0,3
829,NA,245,0,6,1,0,2,4,0,0,3,30,0,9,0,0,3,8,0,5,3,0,164,2,0,1,0,3,0,0,0,0,0,0,0,0,1
840,NA,215,0,5,0,0,0,0,0,0,0,38,0,5,0,0,1,2,0,0,3,0,155,0,0,0,0,1,0,0,0,0,0,1,0,0,4
851,NA,218,2,4,0,1,0,0,0,9,0,97,0,3,3,0,0,6,1,7,0,0,67,0,0,2,0,9,3,0,0,0,0,0,0,0,4
862,NA,205,3,3,0,0,0,0,0,0,4,125,0,10,5,0,0,2,1,0,0,0,36,0,0,0,0,9,3,0,0,0,0,0,0,0,4
873,NA,203,1,7,0,3,2,0,0,1,2,108,0,14,5,0,0,1,3,0,4,0,29,0,0,2,0,4,0,0,0,0,0,0,0,0,17
884,NA,206,0,4,0,2,5,0,0,2,1,141,0,2,6,0,0,2,0,0,5,0,21,0,2,0,0,1,0,0,0,0,0,0,0,0,12
895,NA,228,1,4,0,3,0,0,0,1,2,148,0,7,8,0,0,0,0,0,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9
906,NA,101,0,17,0,0,0,0,0,5,5,24,0,9,0,0,0,0,0,0,3,0,7,0,1,4,0,8,0,2,0,0,0,0,0,0,16
