"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Asteraceae.undiff.","Cyperaceae","Ericaceae","Fagus","Ilex","Larix","Ostrya.Carpinus","Picea","Potentilla.type","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Acer","Pinus","Amaranthaceae","Viburnum","Poaceae","Corylus","Thalictrum","Fabaceae","Fraxinus","Juglans","Myrica","Polygonaceae.undiff.","Caprifoliaceae.undiff.","Carya","Rosaceae.undiff."
0,-20,350,18,5,2,47,1,6,42,10,1,1,1,2,84,7,4,18,1,2,1,19,3,25,3,3,44,0,0,0,0,0,0,0,0,0,0
10,18,425,17,9,2,49,1,0,63,24,3,0,1,3,77,0,4,34,0,0,2,26,2,19,1,0,78,1,1,1,3,1,3,0,0,0,0
20,57,569,11,11,0,105,0,2,147,23,18,0,0,6,24,0,6,54,1,8,0,14,2,15,0,0,117,0,1,0,0,0,3,1,0,0,0
40,239,249,35,0,0,82,0,1,10,21,17,0,0,3,28,0,11,4,0,10,0,6,1,14,0,0,2,0,0,0,2,0,1,1,0,0,0
60,527,234,16,1,0,93,0,0,8,3,43,0,0,0,21,0,6,0,0,12,1,3,3,20,0,0,0,1,0,0,1,0,1,0,1,0,0
80,815,257,18,0,0,97,0,0,8,32,28,0,0,4,20,0,11,0,0,8,0,3,0,25,0,0,0,0,0,0,1,0,1,0,0,1,0
100,1103,249,17,3,0,99,0,1,6,21,30,0,1,4,23,0,15,3,0,6,0,3,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0
120,1390,224,25,0,1,94,0,0,0,9,44,0,0,3,9,0,10,0,0,7,1,1,2,17,0,0,0,0,0,0,1,0,0,0,0,0,0
140,1678,222,5,0,0,111,0,0,2,5,18,1,0,0,16,0,29,1,0,14,0,2,1,15,0,0,0,0,0,0,0,0,0,2,0,0,0
160,1966,230,13,0,0,88,0,0,0,24,15,0,1,3,19,0,35,0,0,9,0,0,2,19,0,0,0,0,0,0,1,0,0,1,0,0,0
180,2254,210,7,0,0,125,0,0,0,10,17,0,0,2,10,0,16,0,0,10,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2542,223,23,0,0,109,0,0,2,13,9,0,0,2,20,0,23,0,0,10,0,2,2,5,0,0,0,0,0,0,1,0,2,0,0,0,0
220,2830,239,10,1,0,128,0,0,0,16,20,0,0,4,12,0,14,0,0,6,2,4,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0
240,3118,221,5,0,1,154,0,0,0,9,2,0,0,3,14,0,13,0,0,9,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3406,211,4,0,1,150,0,0,0,7,0,0,0,0,7,0,7,0,0,7,0,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0
280,3694,215,4,0,0,154,0,0,0,9,1,0,0,1,4,0,8,0,0,5,0,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3982,220,8,0,1,151,0,0,1,10,1,0,0,1,2,0,12,0,0,6,0,5,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0
320,4270,226,1,0,0,120,0,0,1,17,1,0,0,1,5,0,16,0,0,3,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0
340,4573,246,10,0,0,93,0,0,0,32,0,0,0,3,17,0,13,0,0,4,0,2,0,71,0,0,0,0,0,0,1,0,0,0,0,0,0
360,4987,239,6,0,0,96,0,0,0,22,1,0,0,3,9,0,19,0,0,35,0,3,2,41,0,1,0,0,0,0,0,0,1,0,0,0,0
380,5401,229,1,0,1,87,0,0,4,5,0,1,0,0,7,0,20,0,0,60,1,4,0,34,0,1,1,0,0,0,1,0,0,0,0,0,1
400,5814,213,5,0,0,69,0,0,1,4,3,0,0,0,7,0,14,0,0,56,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0
420,6228,221,3,0,2,41,0,0,5,2,0,0,0,5,6,0,14,0,0,37,1,0,1,103,0,0,0,1,0,0,0,0,0,0,0,0,0
440,6641,214,5,1,1,41,0,0,1,4,2,0,0,0,9,0,15,0,0,18,0,3,1,112,0,0,0,0,0,0,0,0,0,0,1,0,0
460,7055,213,7,0,0,18,0,0,1,1,0,0,0,0,16,0,17,0,0,21,0,3,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0
480,7468,231,3,1,0,24,0,0,1,12,0,0,2,2,33,0,11,0,0,8,0,1,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7880,223,5,2,0,48,0,0,1,3,2,0,0,0,21,0,19,0,0,9,3,9,1,99,0,0,0,0,0,0,1,0,0,0,0,0,0
520,8279,230,9,0,0,71,0,0,1,9,0,0,0,1,46,1,13,0,0,0,1,9,0,67,0,0,1,0,0,0,0,0,1,0,0,0,0
540,8677,217,8,0,1,46,0,1,1,1,0,0,0,1,12,1,7,0,1,0,0,5,1,129,0,0,1,0,0,0,0,0,1,0,0,0,0
555,8976,225,12,0,0,75,0,0,2,1,0,0,0,0,31,1,10,0,1,1,1,7,2,78,0,0,0,0,0,0,1,0,2,0,0,0,0
565,9175,215,8,0,0,81,0,0,0,1,0,0,0,1,28,0,6,0,1,0,0,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0
575,9374,218,6,1,0,123,0,1,1,0,0,0,1,1,36,0,12,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0
578,NA,219,14,0,0,108,0,0,1,1,0,0,0,3,27,0,9,0,1,0,1,5,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0
580,NA,226,3,0,3,119,0,3,4,2,0,0,0,1,55,3,8,0,1,0,1,3,1,16,0,0,0,0,0,0,0,0,3,0,0,0,0
583,NA,308,2,0,27,48,0,10,55,1,0,0,0,7,45,0,5,0,12,1,0,14,0,64,2,0,10,0,0,0,0,0,4,0,0,0,1
586,NA,198,0,1,13,27,2,1,60,0,0,0,0,0,28,0,4,0,15,0,0,8,0,28,0,0,7,0,1,0,0,0,1,1,0,0,1
589,NA,276,4,0,22,51,0,0,45,1,0,1,0,0,23,0,5,2,4,0,0,7,0,106,0,0,0,0,2,0,0,0,1,2,0,0,0
593,NA,244,0,2,12,44,0,0,54,0,0,0,0,8,21,0,13,0,23,3,3,12,0,39,0,0,4,0,0,0,3,0,2,0,0,1,0
