"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Acer.saccharum","Impatiens","Platanus","Tilia","Apiaceae","Zea.mays","Fraxinus.americana.type","Plantago","Caryophyllaceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Rumex","Shepherdia.canadensis","Xanthium","Brassicaceae","Abies","Corylus","Sarcobatus.vermiculatus","Rosaceae","Fraxinus.nigra","Myrica","Larix","Thalictrum","Acer.rubrum","Celtis","Ranunculus"
1,-22,302,6,2,25,1,2,3,3,3,32,3,1,3,2,70,9,1,5,8,3,4,62,31,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,40,293,6,0,21,1,4,4,1,4,21,4,1,3,0,90,9,4,4,7,0,1,52,27,13,5,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,109,327,8,0,25,0,8,2,1,1,20,4,1,8,5,83,5,4,4,13,0,3,84,14,7,8,1,3,1,1,0,3,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30,178,348,3,0,28,2,3,3,1,3,31,0,0,3,5,65,2,11,4,28,1,6,94,27,7,3,1,0,0,1,0,3,0,0,6,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
40,247,461,12,0,42,4,11,1,3,1,49,0,0,2,1,72,1,3,5,28,1,1,185,22,4,1,1,1,1,0,0,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,316,1950,5,0,35,0,4,3,6,0,1572,1,0,3,3,69,2,8,9,20,0,3,153,30,5,4,0,1,2,0,2,0,2,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0
60,386,3901,4,0,29,1,11,2,6,5,3522,2,0,8,0,62,3,11,5,18,1,13,142,26,1,3,0,1,3,0,0,7,2,0,0,4,5,0,0,0,1,0,1,2,0,0,0,0,0,0,0
70,455,1981,1,0,19,0,12,7,5,4,1669,0,0,7,3,26,7,23,9,23,2,8,65,57,2,6,0,1,2,0,1,3,1,0,3,3,5,0,0,4,1,0,0,0,2,0,0,0,0,0,0
80,524,317,0,3,20,2,4,30,9,3,41,0,0,3,1,38,2,17,4,8,0,5,27,78,1,7,0,0,5,0,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,558,334,2,0,16,2,7,24,9,2,57,1,0,6,1,33,0,20,7,19,1,3,33,77,2,2,0,0,3,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,662,279,0,1,18,0,4,12,7,1,37,0,0,7,6,25,1,22,5,14,0,3,14,84,1,4,0,0,5,0,0,1,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
110,731,241,0,0,3,2,2,3,6,0,28,1,0,0,1,9,0,32,5,18,1,2,2,120,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,800,211,0,0,8,3,0,11,1,0,0,0,0,1,1,8,0,14,0,3,0,1,0,155,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,870,209,0,0,14,1,0,8,1,0,1,0,0,0,0,20,0,9,0,6,0,0,0,143,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
140,939,213,0,1,14,1,0,7,3,0,2,0,0,2,1,36,0,20,2,2,0,3,1,114,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,1008,240,0,0,12,0,0,29,3,2,7,3,0,3,0,35,1,17,1,3,0,3,1,113,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1077,231,0,0,14,5,0,27,6,1,2,4,0,6,1,46,0,25,0,4,0,1,1,79,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
170,1146,244,0,0,8,3,0,43,5,1,0,0,0,6,1,33,0,21,0,14,0,1,0,99,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,1215,227,0,1,12,0,0,16,2,2,4,0,0,4,2,31,0,35,0,7,0,1,3,86,0,11,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
190,1284,258,0,1,10,3,1,49,8,3,1,6,0,0,0,32,0,35,1,5,0,2,2,90,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200,1354,218,0,0,13,6,0,11,15,1,1,1,0,3,0,32,0,12,1,9,0,1,2,100,0,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
210,1423,248,0,0,10,5,0,42,8,1,3,1,0,7,1,30,0,13,1,8,1,0,0,105,1,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,1492,237,0,3,20,6,0,24,15,4,5,1,0,5,1,31,1,11,0,6,0,2,1,90,0,3,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
230,1561,239,0,1,8,5,0,32,20,2,0,4,0,2,1,16,0,15,3,10,0,6,0,75,0,19,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
240,1630,375,0,0,9,4,1,75,24,4,93,1,0,9,0,28,0,11,1,10,1,4,0,80,0,12,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250,1699,425,0,0,10,5,0,42,17,3,175,0,0,4,1,24,0,17,4,10,0,1,0,93,0,15,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1768,478,0,0,8,3,0,30,24,3,245,0,0,3,1,30,0,17,1,5,0,2,0,93,0,5,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
270,1838,969,0,0,20,5,0,54,21,4,711,3,0,1,1,45,0,18,1,13,0,4,0,49,0,10,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
280,1907,323,0,1,17,8,0,54,17,3,65,1,0,5,0,37,0,13,0,14,0,0,0,73,0,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
290,1976,209,0,0,4,4,0,6,5,2,1,1,0,2,0,17,0,18,0,7,0,0,0,124,0,9,0,3,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
300,2045,241,0,0,3,4,9,27,6,2,0,0,0,2,2,20,0,18,0,7,0,0,2,119,0,15,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
310,2110,210,0,0,4,1,2,5,3,0,2,0,0,0,2,14,0,51,1,9,0,0,0,83,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
320,2170,212,0,0,9,0,1,2,0,2,1,1,0,1,4,13,0,10,4,9,0,2,1,81,0,44,0,0,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
340,2292,104,0,0,2,0,0,3,0,0,1,0,0,2,1,9,0,2,0,13,2,0,0,25,0,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2413,102,0,0,5,0,0,0,0,0,1,0,1,0,2,5,0,3,0,5,0,0,2,50,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,2777,103,0,0,7,0,0,0,0,0,2,0,0,1,2,6,0,5,0,3,0,0,0,47,0,16,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2898,111,0,0,0,0,2,2,0,1,3,0,0,0,2,6,0,6,0,2,0,0,1,40,0,26,3,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,3019,107,0,0,3,0,0,1,0,0,2,0,0,0,5,4,0,3,0,3,0,0,4,44,0,27,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,3140,106,0,0,0,0,0,2,0,0,1,0,0,0,5,5,0,3,1,4,0,0,2,49,0,23,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,3201,209,0,0,4,4,0,3,2,0,2,0,0,1,3,7,0,14,3,6,0,1,2,128,0,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500,3262,208,0,0,1,0,1,3,2,0,0,1,0,0,7,8,0,17,3,4,0,0,0,126,0,21,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,3322,207,0,0,0,2,1,3,3,2,0,0,0,0,5,6,1,21,0,3,0,0,1,116,0,27,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
520,3383,213,0,0,4,3,1,6,5,0,5,1,0,1,2,8,0,26,0,17,0,0,1,93,0,27,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,3443,210,0,0,4,1,2,2,32,4,0,2,0,2,3,12,0,26,1,61,0,0,0,31,0,15,0,1,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
540,3504,213,0,0,7,4,1,6,46,2,2,4,0,6,5,23,0,16,2,13,0,3,0,36,0,16,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
550,3565,205,0,0,7,2,0,0,25,2,1,5,0,3,1,24,0,21,0,14,0,0,0,72,0,6,0,2,16,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
560,3625,199,0,0,19,6,0,1,15,4,0,5,0,4,0,27,0,23,0,48,2,2,0,29,0,2,0,1,5,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
570,3686,208,0,0,5,4,0,0,20,3,4,6,0,4,1,27,0,21,1,22,0,0,0,51,0,19,0,1,12,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
590,NA,203,0,0,4,3,0,0,29,1,1,2,0,16,2,41,0,33,0,16,1,1,0,12,0,31,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
