"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Kalmia","Larix","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Plantago.undiff.","Quercus","Rubiaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Carya.ovata","Corylus.cornuta","Diervilla.lonicera","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rhamnus.alnifolia.R..frangula","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Vaccinium.oxycoccos","Picea.undiff.","Ericaceae.undiff.","Vaccinium.undiff.","Ostrya.Carpinus","Plantago.major","Tilia","Amaranthaceae","Castanea.dentata","Pinus.resinosa.type","Caryophyllaceae","Ledum.Chamaedaphne.calyculata","Salix","Platanus.occidentalis","Pyrola","Sambucus","Vaccinium.macrocarpon.type","Viburnum.nudum","Acer.pensylvanicum","Fabaceae","Rhododendron.canadense","Arceuthobium.pusillum","Cephalanthus.occidentalis","Taxus","Elymus.type","Rumex.type","Brassicaceae","Viburnum.alnifolium","Saxifragaceae","Viburnum.edule","Thalictrum","Liliaceae","Moneses.uniflora","Myrica.gale"
0,0,587,2,10,2,11,1,141,17,137,33,7,2,14,3,4,5,1,16,36,1,6,1,5,6,1,7,4,5,1,2,1,1,1,42,1,2,35,3,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,315,550,0,6,0,4,3,121,6,80,33,7,1,2,3,0,12,0,21,54,0,21,2,4,3,0,8,3,3,1,1,0,3,2,75,0,1,53,7,0,1,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,642,675,1,5,0,0,0,134,9,90,41,6,1,2,1,3,14,0,31,81,0,24,0,1,9,0,7,13,12,1,0,0,1,1,63,0,1,78,8,12,10,0,2,0,2,0,0,1,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,993,592,4,4,0,0,0,123,15,69,32,8,1,0,0,1,6,0,19,65,0,14,0,2,6,0,10,5,2,1,1,0,0,1,58,0,0,95,19,2,13,0,0,0,5,3,0,2,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1387,527,0,5,0,2,1,148,5,24,42,3,0,0,1,0,13,0,14,87,0,12,0,1,2,0,3,7,6,3,0,0,1,1,57,0,0,63,2,7,2,2,0,0,6,0,0,0,0,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1930,918,1,3,1,1,0,69,6,325,14,6,0,1,2,2,33,0,6,168,0,14,1,0,5,0,3,10,1,0,0,0,0,5,189,0,0,42,1,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2602,447,0,0,1,1,1,35,4,40,12,8,1,3,1,0,57,0,9,78,0,10,0,0,1,0,3,1,7,1,0,0,0,10,138,0,0,16,2,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3318,709,0,5,0,0,0,41,0,16,0,4,1,1,3,0,94,0,7,193,0,5,0,0,1,0,2,0,5,1,0,0,0,3,313,0,0,6,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3990,611,0,4,0,0,0,77,1,40,4,3,1,3,1,1,51,0,7,109,0,8,1,0,9,0,6,2,3,0,0,0,0,14,239,2,0,15,1,2,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4536,543,0,1,0,0,1,59,0,23,3,3,0,2,0,0,62,0,6,133,0,13,0,0,3,0,5,0,11,1,0,0,0,12,193,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4929,401,0,7,1,4,0,81,18,86,10,4,0,4,0,1,24,0,1,44,0,9,0,1,7,0,1,4,4,0,1,0,0,7,45,0,0,23,3,1,5,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5203,1025,2,6,0,0,2,72,12,73,6,7,0,2,1,0,128,0,8,147,0,12,0,2,7,0,9,0,3,0,4,0,0,12,351,0,0,147,0,0,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5390,732,0,7,1,2,0,183,2,123,17,12,0,5,8,0,28,0,4,110,0,27,0,1,11,0,5,3,11,0,1,0,0,1,106,1,1,48,0,3,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
260,5526,792,0,7,0,1,1,208,1,84,30,17,0,2,5,0,17,0,3,79,0,66,0,0,15,0,3,8,11,2,0,0,2,2,101,0,0,113,3,0,2,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
280,NA,523,2,3,0,2,0,99,1,22,16,16,1,34,5,0,6,0,2,26,0,93,0,1,11,0,12,7,7,0,0,0,1,0,62,0,0,72,0,1,0,0,1,0,4,1,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0
300,NA,657,0,2,0,0,0,82,0,11,4,16,1,212,3,0,3,0,3,25,0,64,0,1,10,1,2,0,12,0,1,0,2,0,90,0,0,73,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0
320,NA,478,0,2,0,0,0,85,0,6,3,15,3,100,2,0,2,0,1,29,0,62,0,0,9,0,3,0,6,0,0,0,3,1,67,0,0,58,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,2,0,0,2,1,1,1,0,0,0,0
340,NA,459,0,2,0,2,2,103,2,12,10,11,1,4,4,1,1,0,5,24,0,85,0,1,9,0,6,8,10,2,0,0,1,0,66,0,0,53,1,1,2,0,0,0,7,0,0,0,0,0,0,2,0,3,0,0,8,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0
360,NA,430,0,4,1,2,2,67,0,15,6,10,1,20,3,0,3,0,2,50,0,56,0,2,4,6,2,3,2,1,1,0,0,7,0,0,0,124,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0
380,NA,779,1,12,0,3,1,60,0,1,0,5,0,3,2,0,0,0,1,167,0,12,0,0,12,2,3,1,4,5,4,0,1,10,358,0,0,64,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400,NA,146,1,1,0,2,0,16,0,0,0,0,0,2,2,0,0,1,1,26,0,0,0,4,3,0,1,0,4,0,0,0,0,3,47,0,0,10,0,0,0,0,1,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
