"sample.depths","sample.ages","Abies","Acer.saccharum.type","Ambrosia.type","Betula","Carya","Castanea","Celtis","Corylus","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Acer.rubrum","Acer.undiff.","Artemisia","Caryophyllaceae","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Salix","Liquidambar","Amaranthaceae","Pinus.subg..Pinus","Taxus","Acer.spicatum","Cupressaceae","Acer.saccharinum.type","Ilex","Vitis","Spiraea.type","Ericaceae","Sanguisorba","Urtica.type"
0,0,0.0389972144846797,0.0306406685236769,0.0250696378830084,0.434540389972145,0.00278551532033426,0.011142061281337,0.00278551532033426,0.0278551532033426,0.0835654596100279,0.0194986072423398,0.00278551532033426,0.011142061281337,0.0417827298050139,0.0250696378830084,0.052924791086351,0.00278551532033426,0.0668523676880223,0.011142061281337,0.00278551532033426,0.0612813370473538,0.00278551532033426,0.0139275766016713,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00557103064066852,0.0139275766016713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,0.0231958762886598,0.0206185567010309,0.0128865979381443,0.469072164948454,0.0103092783505155,0.00257731958762887,0,0.0180412371134021,0.100515463917526,0.00257731958762887,0,0.0077319587628866,0.0850515463917526,0.0154639175257732,0.0541237113402062,0,0.0360824742268041,0.00515463917525773,0.00257731958762887,0.0438144329896907,0,0.0154639175257732,0.0077319587628866,0,0.00257731958762887,0,0.0309278350515464,0.00515463917525773,0.00257731958762887,0.00257731958762887,0.00257731958762887,0.00515463917525773,0.0077319587628866,0.00257731958762887,0.00515463917525773,0,0,0,0,0,0,0,0,0,0,0,0,0
9,47,0.0338983050847458,0.0145278450363196,0.0338983050847458,0.382566585956416,0.00484261501210654,0.00968523002421308,0,0.0217917675544794,0.116222760290557,0.0290556900726392,0,0.00484261501210654,0.0823244552058111,0.00484261501210654,0.0581113801452785,0.00484261501210654,0.062953995157385,0.00726392251815981,0.00242130750605327,0.0605326876513317,0,0.0121065375302663,0.00726392251815981,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.0121065375302663,0.00484261501210654,0,0.00242130750605327,0,0.00242130750605327,0.00726392251815981,0.00242130750605327,0.00242130750605327,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0
15,78,0.0346666666666667,0.0133333333333333,0.008,0.426666666666667,0.00533333333333333,0.00533333333333333,0,0.0346666666666667,0.109333333333333,0.008,0,0.00533333333333333,0.0933333333333333,0.016,0.0586666666666667,0.00266666666666667,0.0586666666666667,0.00533333333333333,0.00266666666666667,0.0586666666666667,0.00266666666666667,0.00266666666666667,0.008,0,0,0.00533333333333333,0.0213333333333333,0.00533333333333333,0,0,0.00266666666666667,0,0.00266666666666667,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
20,105,0.0263157894736842,0.0263157894736842,0.0236842105263158,0.371052631578947,0,0.00263157894736842,0,0.0342105263157895,0.142105263157895,0.0131578947368421,0,0.00263157894736842,0.0789473684210526,0.0315789473684211,0.068421052631579,0.00263157894736842,0.0631578947368421,0.0105263157894737,0,0.0605263157894737,0.00263157894736842,0.0210526315789474,0.00526315789473684,0,0,0,0.00263157894736842,0.00526315789473684,0,0.00263157894736842,0,0,0,0,0,0,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0
25,419,0.025,0.0125,0.0025,0.44,0.005,0,0,0.01,0.1825,0.01,0,0.0075,0.0775,0.0075,0.04,0,0.0475,0,0,0.095,0,0.01,0.0075,0,0,0,0.0025,0.005,0,0,0,0,0.0075,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0
30,733,0.0224089635854342,0.0168067226890756,0,0.420168067226891,0.00280112044817927,0,0,0.0224089635854342,0.159663865546218,0.0140056022408964,0.00280112044817927,0.0224089635854342,0.0700280112044818,0.0196078431372549,0.0420168067226891,0.00280112044817927,0.0448179271708683,0,0.00280112044817927,0.0784313725490196,0.00280112044817927,0.0112044817927171,0.0252100840336134,0,0,0,0,0,0,0.00560224089635854,0,0.00280112044817927,0.00560224089635854,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1361,0.0338983050847458,0.0423728813559322,0,0.437853107344633,0,0,0,0.0169491525423729,0.177966101694915,0.0225988700564972,0,0.00282485875706215,0.0508474576271186,0.0225988700564972,0.0367231638418079,0,0.0310734463276836,0,0.00282485875706215,0.0706214689265537,0.00564971751412429,0.0169491525423729,0.0112994350282486,0,0.00282485875706215,0.00282485875706215,0,0.00564971751412429,0,0.00282485875706215,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2156,0.030812324929972,0.0280112044817927,0.00280112044817927,0.431372549019608,0,0,0,0.0252100840336134,0.187675070028011,0.00560224089635854,0,0.00280112044817927,0.00560224089635854,0.0420168067226891,0.030812324929972,0,0.0588235294117647,0,0,0.0840336134453782,0,0.00840336134453781,0.0168067226890756,0.00280112044817927,0.00560224089635854,0,0,0.00280112044817927,0,0.00560224089635854,0,0,0.00840336134453781,0,0,0,0.00560224089635854,0.00560224089635854,0.00280112044817927,0,0,0,0,0,0,0,0,0
80,2951,0.0307262569832402,0.0307262569832402,0,0.502793296089385,0,0.00837988826815642,0,0.00837988826815642,0.153631284916201,0.0139664804469274,0,0.0167597765363128,0.00558659217877095,0.0279329608938547,0.0474860335195531,0.00279329608938547,0.0642458100558659,0,0.00279329608938547,0.0307262569832402,0.00279329608938547,0.0167597765363128,0.0139664804469274,0,0,0.00279329608938547,0,0,0,0,0,0.00558659217877095,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0,0
90,3349,0.0349854227405248,0.0087463556851312,0,0.475218658892128,0.00291545189504373,0,0,0.0174927113702624,0.142857142857143,0.0087463556851312,0,0,0.0087463556851312,0.0612244897959184,0.0466472303206997,0.00583090379008746,0.0845481049562682,0,0.00291545189504373,0.043731778425656,0.0087463556851312,0.0087463556851312,0.0145772594752187,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0.00291545189504373,0.00291545189504373,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0
100,3746,0.0259067357512953,0.0103626943005181,0,0.450777202072539,0.00259067357512953,0.00259067357512953,0,0.00518134715025907,0.178756476683938,0.0077720207253886,0,0.0103626943005181,0.0103626943005181,0.0569948186528497,0.0492227979274611,0.00259067357512953,0.0492227979274611,0.00518134715025907,0.00259067357512953,0.0492227979274611,0.00259067357512953,0.0155440414507772,0.0155440414507772,0,0.00259067357512953,0.00518134715025907,0.0155440414507772,0.00259067357512953,0,0,0,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00518134715025907,0,0,0,0,0,0,0,0,0,0
120,4542,0.0114613180515759,0.00573065902578797,0.00286532951289398,0.498567335243553,0,0,0,0.0200573065902579,0.140401146131805,0.0114613180515759,0,0.00573065902578797,0.00286532951289398,0.0143266475644699,0.0458452722063037,0.00573065902578797,0.0659025787965616,0,0,0.0859598853868195,0.00286532951289398,0.0257879656160458,0.0286532951289398,0.00286532951289398,0.00286532951289398,0,0,0,0,0.00573065902578797,0,0,0.00573065902578797,0.00573065902578797,0,0,0,0,0.00286532951289398,0,0,0,0,0,0,0,0,0
140,5186,0.00294985250737463,0.0176991150442478,0,0.424778761061947,0.00294985250737463,0,0,0.0088495575221239,0.0766961651917404,0.0088495575221239,0,0.0117994100294985,0.00294985250737463,0.0589970501474926,0.0973451327433628,0,0.0648967551622419,0,0,0.156342182890855,0,0.0117994100294985,0.0206489675516224,0,0,0.00294985250737463,0,0.00294985250737463,0,0,0,0,0.0147492625368732,0,0.00294985250737463,0,0.00294985250737463,0,0,0,0,0,0.00294985250737463,0.00294985250737463,0,0,0,0
160,5829,0.00769230769230769,0.0153846153846154,0,0.317948717948718,0.00256410256410256,0.00512820512820513,0,0.0102564102564103,0.0358974358974359,0.0128205128205128,0,0.0179487179487179,0.00512820512820513,0.0871794871794872,0.130769230769231,0.00769230769230769,0.115384615384615,0,0.00256410256410256,0.135897435897436,0,0.0282051282051282,0.0333333333333333,0.00512820512820513,0,0,0.00256410256410256,0,0,0,0,0,0.0102564102564103,0,0,0,0.00256410256410256,0.00256410256410256,0,0.00256410256410256,0,0,0,0,0.00256410256410256,0,0,0
180,6473,0.0109289617486339,0.00273224043715847,0,0.256830601092896,0,0.00546448087431694,0,0.00546448087431694,0.00819672131147541,0.0191256830601093,0,0.0191256830601093,0.00546448087431694,0.155737704918033,0.207650273224044,0.00819672131147541,0.122950819672131,0,0,0.0491803278688525,0.00546448087431694,0.00819672131147541,0.0655737704918033,0.00273224043715847,0.00546448087431694,0.00273224043715847,0,0.00273224043715847,0,0,0,0.00546448087431694,0.0109289617486339,0.00273224043715847,0,0,0,0,0.00273224043715847,0,0,0,0.00273224043715847,0,0.00546448087431694,0,0,0
200,7117,0.0197044334975369,0.00738916256157635,0,0.270935960591133,0,0.00246305418719212,0,0.00985221674876847,0.00246305418719212,0.00985221674876847,0,0.0172413793103448,0.00985221674876847,0.142857142857143,0.206896551724138,0.00492610837438424,0.157635467980296,0,0,0.0221674876847291,0,0.0172413793103448,0.0566502463054187,0,0.00246305418719212,0.00246305418719212,0.00492610837438424,0,0,0,0,0,0.00738916256157635,0,0,0,0.00246305418719212,0.0172413793103448,0.00246305418719212,0,0.00246305418719212,0,0,0,0,0,0,0
220,7761,0.0112107623318386,0.0134529147982063,0.00672645739910314,0.181614349775785,0,0,0,0.00672645739910314,0,0.00672645739910314,0,0.00896860986547085,0,0.224215246636771,0.266816143497758,0.00448430493273543,0.12780269058296,0,0,0.0134529147982063,0.00224215246636771,0.00448430493273543,0.0807174887892377,0.00224215246636771,0.00448430493273543,0.00224215246636771,0.00448430493273543,0,0,0.00224215246636771,0,0,0.00224215246636771,0,0.00224215246636771,0,0,0.0179372197309417,0,0.00224215246636771,0,0,0,0,0,0,0,0
240,8404,0.0188679245283019,0.00943396226415094,0.00471698113207547,0.287735849056604,0,0,0,0.00943396226415094,0,0.00471698113207547,0,0.0070754716981132,0.0117924528301887,0.200471698113208,0.205188679245283,0.00471698113207547,0.110849056603774,0,0,0.0070754716981132,0.00235849056603774,0.0117924528301887,0.0566037735849057,0.00471698113207547,0.00235849056603774,0,0,0,0,0,0,0,0.0212264150943396,0.00235849056603774,0,0,0.00235849056603774,0.00471698113207547,0,0.00235849056603774,0,0,0,0,0.0070754716981132,0,0,0
260,9048,0.0344827586206897,0.00202839756592292,0,0.241379310344828,0,0,0,0.00202839756592292,0,0.00608519269776876,0,0.0243407707910751,0.0101419878296146,0.288032454361055,0.139959432048682,0.00202839756592292,0.119675456389452,0,0,0.00608519269776876,0,0.00405679513184584,0.0709939148073022,0,0,0.00202839756592292,0.00608519269776876,0,0,0,0,0,0.0141987829614604,0,0.00202839756592292,0,0,0.0101419878296146,0,0.00202839756592292,0.0101419878296146,0,0,0,0,0.00202839756592292,0,0
280,9692,0.0144628099173554,0.0144628099173554,0.00206611570247934,0.31198347107438,0,0,0,0.0185950413223141,0.00206611570247934,0.00619834710743802,0,0.0103305785123967,0.0206611570247934,0.128099173553719,0.177685950413223,0,0.109504132231405,0,0,0.0103305785123967,0.00206611570247934,0.0165289256198347,0.107438016528926,0,0.00206611570247934,0.0185950413223141,0.00619834710743802,0,0,0.00206611570247934,0,0.00413223140495868,0.00206611570247934,0,0.00206611570247934,0,0.00206611570247934,0.00413223140495868,0,0,0.00413223140495868,0,0,0,0,0,0,0
290,NA,0.0291777188328912,0,0.0026525198938992,0.339522546419098,0,0,0,0.0185676392572944,0.0026525198938992,0.0026525198938992,0.0026525198938992,0.0106100795755968,0.0238726790450928,0.116710875331565,0.169761273209549,0,0.0742705570291777,0,0,0.0026525198938992,0.00530503978779841,0.00530503978779841,0.0822281167108753,0.00530503978779841,0.00795755968169761,0.0185676392572944,0.00530503978779841,0.0026525198938992,0,0.00530503978779841,0,0.013262599469496,0.0159151193633952,0,0,0,0,0.0318302387267905,0,0,0.0026525198938992,0,0,0,0,0.0026525198938992,0,0
300,NA,0.0355329949238579,0.0050761421319797,0.00253807106598985,0.472081218274112,0,0.00253807106598985,0,0.0203045685279188,0,0,0,0.0101522842639594,0.065989847715736,0.065989847715736,0.114213197969543,0.00253807106598985,0.0431472081218274,0,0,0,0,0.0050761421319797,0.106598984771574,0,0.00253807106598985,0.0050761421319797,0.0050761421319797,0,0,0.00253807106598985,0,0.00761421319796954,0.00253807106598985,0,0.00761421319796954,0,0,0,0,0,0.0152284263959391,0,0,0,0,0,0,0
310,NA,0.00198412698412698,0,0.00793650793650794,0.107142857142857,0,0,0,0.0178571428571429,0,0.00793650793650794,0,0.0714285714285714,0.220238095238095,0.0198412698412698,0.132936507936508,0,0.0773809523809524,0.00396825396825397,0,0,0.0138888888888889,0.00198412698412698,0.00793650793650794,0,0.00992063492063492,0.00992063492063492,0.0119047619047619,0,0,0.0515873015873016,0.00396825396825397,0.186507936507937,0.00198412698412698,0,0.0218253968253968,0,0,0.00595238095238095,0,0,0,0,0,0,0,0.00396825396825397,0,0
320,NA,0,0,0,0.0760456273764259,0,0,0,0.0304182509505703,0,0,0,0.0494296577946768,0.216730038022814,0.00380228136882129,0.186311787072243,0,0.0304182509505703,0.0114068441064639,0,0,0.0190114068441065,0.00380228136882129,0,0.0152091254752852,0.00380228136882129,0.0494296577946768,0.0304182509505703,0,0,0.064638783269962,0.0114068441064639,0.11787072243346,0.00760456273764259,0,0.0418250950570342,0,0,0.0190114068441065,0,0,0.00380228136882129,0,0,0,0,0,0.00380228136882129,0.00380228136882129
