"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Ostrya.Carpinus","Other.trees.and.shrubs","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.Iva","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Humulus","Liliaceae","Other.herbs","Plantago","Poaceae","Polemoniaceae","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Pediastrum","Brasenia.schreberi","cf..Utricularia","IsoÃ«tes","Myriophyllum","Nuphar","Other.aquatics","Potamogeton","Sagittaria","Sparganium","Typha.latifolia","Spore..monolete.","Spore..trilete.","Unknown","pre.Quaternary..spore."
1,-20,0,0,0,6,5,1,1,0,0,6,2,4,0,1,1,0,3,2,22,0,0,67,4,6,0,0,1,3,0,14,0,4,4,1,0,0,0,20,10,0,0,4,0,135,0,0,8,5,4,0,0,2,2,1,0,1,8,1,3,0,2,0,2,2,4,0
10,72,0,1,2,7,3,0,0,0,0,1,2,6,0,1,0,2,2,1,18,0,0,72,1,4,0,0,1,1,0,5,0,6,2,1,0,0,1,8,9,0,0,0,0,155,0,0,0,1,3,0,0,3,0,0,0,0,7,3,0,4,1,0,2,2,2,0
20,173,0,2,0,3,0,1,0,0,0,8,1,5,0,0,0,0,0,0,11,0,0,64,0,2,0,0,0,8,0,3,0,2,5,2,2,0,2,10,28,0,0,1,0,173,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,3,1,1,4,1,2,0
30,275,0,3,0,5,4,1,0,0,0,5,3,5,0,1,0,0,0,0,17,1,0,79,1,4,0,0,0,6,0,10,0,7,1,1,0,0,1,10,0,0,0,0,0,142,0,0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0
40,377,0,1,0,6,5,0,1,0,0,4,1,3,0,3,0,0,0,2,17,0,0,118,0,0,0,0,0,3,0,9,0,2,0,0,0,1,0,8,0,0,0,0,0,129,0,0,0,0,0,0,0,2,6,0,0,0,4,0,0,1,1,1,5,1,2,0
50,478,0,2,3,9,9,1,0,0,0,1,1,2,0,1,1,1,1,0,23,0,0,148,0,0,0,0,2,6,0,5,1,2,2,0,0,0,2,17,0,0,0,0,0,92,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1,2,0
60,580,0,0,3,5,4,0,0,0,1,2,0,2,1,4,0,1,0,4,17,2,0,84,0,0,0,1,0,1,0,3,1,1,2,1,0,0,2,9,0,0,0,0,0,159,0,0,0,0,1,1,0,1,7,0,0,0,1,0,0,0,0,0,1,0,2,0
70,682,0,1,2,8,2,0,1,0,2,2,1,2,0,1,0,1,0,2,16,0,1,109,0,1,0,0,0,4,1,5,0,1,2,0,0,0,3,17,0,0,0,0,0,121,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,1,3,3,0,0
80,783,0,1,1,2,2,1,0,0,0,2,0,4,0,3,0,0,0,1,13,2,1,82,0,0,0,0,0,3,0,6,1,4,2,1,0,0,2,8,0,0,0,0,0,204,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,1,1,1,0
100,987,0,3,0,2,5,0,0,0,1,2,1,2,0,0,1,2,0,1,12,0,0,90,0,1,0,0,0,4,0,15,0,0,1,0,0,0,5,6,0,0,0,0,0,154,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,1,1,1,1,1,0
110,1088,0,1,2,5,6,0,1,0,0,6,3,2,1,2,0,0,3,7,30,0,0,121,4,0,0,0,2,6,0,5,0,4,2,0,0,0,1,18,2,0,1,2,0,85,0,1,0,3,1,1,0,5,0,0,0,0,2,0,3,0,0,0,2,4,2,0
120,1190,0,1,0,4,6,1,0,0,0,3,0,3,0,0,0,0,0,1,18,1,0,157,0,2,0,0,1,6,0,7,0,4,1,0,0,0,3,15,3,0,0,3,0,68,0,1,2,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,3,6,0
130,1292,0,0,1,6,2,0,0,0,0,4,1,1,0,4,2,0,0,2,15,0,0,112,0,0,0,0,1,5,0,6,0,0,2,0,0,0,0,3,3,0,1,0,0,161,0,1,1,1,0,0,0,12,0,0,0,2,5,0,2,0,0,0,0,0,2,1
140,1393,0,5,5,14,3,0,0,0,1,2,5,1,0,2,0,1,0,2,21,0,0,142,0,0,0,1,0,8,0,16,0,4,6,0,0,0,5,15,0,0,0,0,0,46,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,5,1,2,7,0
150,1495,0,3,2,10,7,1,0,0,0,7,7,0,0,4,0,0,2,2,23,1,0,178,0,1,0,0,2,5,0,5,0,3,5,1,0,0,2,19,3,0,0,0,0,15,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,4,0
160,1597,0,3,0,12,6,2,0,0,0,1,2,0,1,9,0,0,0,0,16,1,0,180,0,2,0,0,1,12,0,2,1,3,1,0,0,0,1,6,2,0,0,0,0,75,0,0,0,1,2,0,0,14,0,0,0,0,1,3,0,0,0,1,0,4,6,0
170,1698,0,1,1,4,5,2,0,0,2,3,1,1,0,2,0,0,0,0,7,1,0,65,0,2,0,0,0,3,0,5,0,0,4,2,0,0,3,5,0,0,0,1,0,190,0,0,0,0,0,0,0,26,0,0,0,0,0,0,8,0,0,0,1,0,2,0
180,1800,0,1,0,1,0,0,0,0,4,1,0,1,0,1,0,0,0,0,14,3,0,83,0,0,0,0,0,2,0,2,0,0,5,0,0,0,3,8,0,0,0,1,0,192,0,0,0,0,0,0,0,16,0,0,0,0,1,0,2,0,0,0,1,1,1,0
200,2003,0,3,0,4,1,1,0,0,0,0,0,0,0,6,0,0,0,2,11,1,0,56,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,9,0,0,0,1,0,220,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
210,2105,0,1,2,2,3,0,1,0,0,2,3,0,0,1,1,1,0,0,9,2,0,75,0,0,0,0,0,3,0,6,0,3,1,0,0,0,2,6,1,0,0,2,0,192,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,1,0,0,0,0
220,2207,0,3,3,3,4,2,0,0,0,0,3,0,1,5,1,0,0,0,12,1,0,116,0,0,0,0,0,7,0,10,0,0,3,0,0,0,1,7,0,0,0,0,0,158,0,0,2,0,1,1,0,2,1,0,0,0,1,0,0,1,1,1,0,1,1,0
230,2308,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,59,0,0,0,1,0,2,0,4,0,2,1,0,0,0,0,2,0,0,0,0,0,224,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0
240,2410,0,1,1,2,7,1,0,0,0,2,1,0,0,1,0,0,1,3,11,0,0,101,0,0,0,0,0,4,0,6,0,4,0,1,0,0,0,4,0,0,0,0,0,162,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2512,0,1,5,6,5,0,1,0,0,0,2,0,0,6,0,0,0,1,26,0,0,162,0,0,0,0,0,7,0,5,0,3,5,0,0,0,1,15,0,0,0,0,0,60,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2613,0,1,7,9,6,0,0,0,0,4,0,0,1,1,0,0,0,1,23,2,0,136,1,0,0,0,0,4,0,13,0,2,4,0,0,0,1,6,0,0,0,2,0,102,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,3,1,0,0,0
270,2715,0,0,4,5,4,1,0,0,1,2,1,0,1,4,0,0,0,1,21,3,0,74,0,0,0,0,1,9,0,4,0,1,3,0,0,0,0,14,0,0,0,0,0,153,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0
280,2817,0,0,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,83,1,0,0,0,0,0,0,10,0,4,3,0,0,0,0,5,0,0,0,0,0,201,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290,2918,0,1,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,1,7,0,0,59,0,0,0,1,0,0,0,6,0,1,1,0,0,0,2,1,1,0,0,0,0,225,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0
310,3122,0,0,2,7,4,0,0,0,0,5,1,1,0,3,0,2,0,1,14,3,0,78,0,0,0,0,0,7,0,4,1,0,1,2,0,0,0,7,1,0,0,0,0,210,0,0,1,0,1,0,0,20,0,0,0,0,0,0,1,0,0,0,0,2,0,0
320,3223,0,2,2,3,2,0,0,0,0,0,1,0,0,5,0,2,0,0,16,0,0,58,0,0,0,0,0,5,0,6,1,0,3,0,0,0,1,8,1,0,0,1,0,194,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,1,0
330,3325,0,1,2,2,5,1,0,0,0,1,0,0,1,4,0,0,1,1,17,0,0,122,0,1,0,1,0,6,0,2,0,3,2,0,0,0,1,10,4,0,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,1,0
340,3427,0,0,2,2,3,0,0,0,0,0,1,0,0,2,0,1,0,1,12,0,0,93,0,0,0,0,0,3,0,5,0,3,0,0,0,0,1,2,1,0,0,1,0,176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
350,3528,0,0,1,3,10,1,0,0,0,4,2,2,0,1,2,0,0,2,25,2,0,211,0,1,0,1,1,6,0,6,0,1,2,0,0,0,2,5,2,0,0,0,0,38,0,0,1,0,1,0,0,29,0,0,0,0,0,0,2,0,1,1,0,1,2,0
360,3630,0,0,3,2,3,0,0,0,3,1,0,0,0,3,0,1,0,3,19,0,0,114,0,2,0,2,0,4,0,10,0,1,2,0,0,0,2,12,3,0,0,1,0,133,0,0,0,0,2,1,0,29,1,0,0,0,3,0,1,0,0,0,1,2,4,0
370,3732,0,2,0,2,2,2,0,0,0,1,1,0,0,3,0,3,0,0,18,1,0,123,0,1,0,0,0,7,0,5,1,0,3,0,0,0,1,6,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
380,3833,0,0,0,4,1,0,0,0,0,4,0,0,0,3,0,0,0,0,11,0,0,77,0,3,0,1,0,3,0,5,0,1,3,0,0,0,1,5,0,0,0,0,0,181,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0
390,3935,0,1,0,2,4,0,0,0,2,2,1,0,0,3,0,0,0,0,9,0,0,111,0,1,0,1,0,6,0,6,0,1,2,0,0,0,0,12,0,0,0,0,0,146,0,0,2,0,1,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1,1,0
410,4138,0,1,1,5,5,3,0,0,0,3,5,0,0,0,1,0,0,0,12,3,0,118,0,2,0,0,1,7,0,11,0,0,1,0,0,0,1,6,0,0,0,0,0,120,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,2,0,1,0,0
420,4240,0,3,8,3,9,0,1,0,0,0,5,0,0,3,0,0,0,0,26,0,0,209,0,2,1,2,1,8,0,15,0,4,4,0,0,0,4,0,0,0,0,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0
430,4342,0,0,3,1,4,3,0,0,0,2,1,0,0,1,0,0,0,0,18,2,0,186,0,2,0,1,1,5,0,13,0,6,5,0,0,0,2,9,1,0,0,1,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
440,4444,0,0,2,9,15,1,0,1,0,2,1,0,0,3,1,1,2,0,38,0,0,163,0,0,0,0,0,13,0,18,0,7,3,0,0,0,4,7,0,0,0,0,0,13,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0
450,4507,0,1,2,5,5,3,0,0,0,3,5,0,1,6,1,2,0,0,20,1,0,164,1,2,0,1,0,6,0,27,1,9,3,0,0,0,1,13,1,0,0,0,0,19,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,1,0
460,4570,0,2,4,1,10,1,1,0,2,4,3,0,2,1,0,2,1,3,24,0,0,180,0,0,0,2,0,8,0,24,0,8,4,0,0,0,1,4,0,0,0,0,0,12,0,1,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,2,0,0,0
470,4633,0,0,8,7,14,0,0,0,0,6,2,0,0,9,1,3,0,0,24,5,0,147,0,4,0,0,0,16,0,19,0,9,6,0,0,0,2,18,1,0,0,2,0,24,0,0,1,0,0,0,0,9,0,0,0,0,3,0,4,0,1,0,0,1,4,0
480,4696,0,2,4,3,8,0,0,0,0,1,1,0,0,2,0,0,1,0,25,0,0,174,0,1,0,4,0,6,0,37,0,7,4,0,0,0,0,7,0,0,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
490,4759,1,3,1,1,6,0,0,0,0,2,2,0,0,4,1,1,0,2,38,0,0,172,0,0,0,0,0,7,0,17,0,7,3,0,0,0,5,15,0,1,0,1,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
505,4853,0,3,1,4,7,0,0,0,0,1,3,0,0,4,0,0,6,1,33,0,0,187,0,0,0,2,0,10,0,17,0,1,2,0,0,0,3,13,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0
510,4885,0,1,0,6,12,1,0,0,0,4,2,0,0,3,0,0,0,2,17,2,0,197,0,2,0,2,0,8,0,13,0,7,4,0,0,0,3,11,0,0,0,1,0,20,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,3,0,1,0
520,4948,0,3,2,4,9,0,0,0,0,2,2,0,0,1,0,0,6,1,36,0,0,180,0,0,1,1,1,13,0,25,0,9,5,0,0,0,6,4,2,0,0,2,0,16,0,0,0,0,3,0,0,24,0,0,0,1,2,0,0,0,0,6,3,2,0,0
530,5011,0,0,3,1,4,3,0,0,1,2,1,0,0,5,1,2,0,2,29,1,0,169,0,2,0,1,0,10,0,21,3,7,1,0,0,0,3,7,1,1,0,3,0,41,0,0,1,0,0,0,0,6,0,0,0,0,1,0,3,0,0,2,3,1,3,0
540,5074,0,1,3,4,9,0,0,0,0,1,1,0,0,7,0,0,0,0,20,1,0,210,0,0,0,1,0,12,0,22,0,6,7,0,0,0,3,9,0,0,0,2,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,4,2,0,0
550,5137,0,3,2,2,4,1,0,0,0,5,1,0,0,5,1,0,0,0,20,3,0,176,0,1,0,1,0,12,0,16,0,3,5,0,0,0,2,10,0,0,1,0,0,33,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,5,0,0,0
560,5200,0,2,3,0,7,3,0,0,0,2,0,0,0,6,0,2,5,7,37,0,0,170,0,0,0,0,0,9,0,26,0,4,6,0,0,0,6,3,0,0,1,2,0,17,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0
570,5263,0,4,2,3,7,0,0,0,2,6,4,0,1,6,0,0,0,2,28,2,0,175,0,2,0,1,1,7,0,9,1,7,4,1,0,0,1,9,3,0,0,1,0,25,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,2,1,6,0
580,5326,0,2,2,6,9,1,1,0,0,3,1,0,0,6,0,1,0,1,24,2,0,212,0,2,0,1,0,10,0,12,0,3,4,1,0,0,1,7,0,0,0,1,0,13,0,0,0,0,1,0,0,8,0,0,0,0,2,0,0,0,0,2,2,2,1,0
590,5389,0,4,1,2,6,0,1,0,1,1,2,0,0,7,1,1,1,7,26,0,1,179,0,1,0,2,1,7,0,14,0,3,5,0,0,0,2,8,0,0,0,0,0,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0
600,5452,0,4,3,1,7,1,0,0,0,3,2,0,0,11,0,0,1,0,27,0,0,144,0,2,0,2,0,32,0,15,0,3,7,0,0,0,3,14,0,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,8,1,1,1,0
610,5515,0,0,3,2,4,3,0,0,0,2,1,0,0,6,1,0,0,0,12,0,0,222,0,1,0,0,0,6,0,14,0,4,0,0,0,0,2,8,0,0,0,1,0,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,2,0,0,0,0
620,5578,0,6,2,2,1,2,0,0,0,6,2,1,0,4,0,1,0,0,15,1,0,186,0,1,0,3,0,19,0,8,0,3,5,0,0,0,7,18,1,0,0,0,0,13,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,6,0,2,4,0
630,5641,0,1,5,2,5,0,0,0,0,2,2,0,0,4,1,1,0,0,29,1,0,188,0,0,1,0,0,6,0,25,0,4,6,0,0,0,3,6,0,0,0,2,0,10,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,0,1,0
