"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Ostrya.Carpinus","Other.trees.and.shrubs","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.Iva","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Humulus","Liliaceae","Other.herbs","Plantago","Poaceae","Polemoniaceae","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Pediastrum","Brasenia.schreberi","cf..Utricularia","IsoÃ«tes","Myriophyllum","Nuphar","Other.aquatics","Potamogeton","Sagittaria","Sparganium","Typha.latifolia","Spore..monolete.","Spore..trilete.","Unknown","pre.Quaternary..spore."
650,5767,0,4,1,1,9,2,0,0,0,4,5,0,0,12,0,0,0,1,23,3,0,155,0,0,0,0,0,35,0,23,1,9,2,0,0,0,2,6,0,0,0,0,0,9,0,0,2,0,0,0,0,19,0,0,0,0,2,0,1,0,0,0,2,2,5,0
680,5956,0,4,3,5,7,2,0,0,0,1,7,0,0,4,1,0,0,0,21,1,0,161,0,3,0,2,0,37,0,24,0,12,6,1,0,0,5,11,0,0,0,2,0,26,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0
705,6113,0,3,1,0,8,0,1,0,1,0,2,0,0,5,0,0,3,8,32,0,0,155,0,0,1,2,0,44,0,18,0,2,3,0,0,0,5,3,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
710,6145,0,4,3,2,11,0,0,0,1,0,3,0,0,7,0,0,0,0,25,0,0,158,0,2,1,5,0,41,0,15,1,1,4,0,0,0,2,6,0,0,0,1,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
720,6208,0,7,1,1,8,5,0,0,0,4,2,0,0,10,0,1,2,1,18,2,0,200,0,1,0,1,0,28,0,13,0,4,1,0,0,0,2,9,0,0,0,0,0,8,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,1,0,1,2,0
740,6334,0,1,0,1,6,3,0,0,0,0,5,0,0,17,0,0,2,1,29,2,0,133,0,0,0,8,0,46,0,30,0,6,3,1,0,0,3,4,0,0,0,1,0,8,0,0,0,0,2,0,0,15,0,0,0,0,0,0,1,0,0,1,4,0,1,0
760,6460,0,5,3,2,11,6,0,0,0,2,2,0,0,18,0,7,2,0,20,0,0,136,0,0,1,5,0,46,0,30,0,4,2,0,0,0,3,17,0,0,0,1,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0
770,6523,0,4,1,1,10,2,0,0,0,1,5,0,0,15,1,1,0,1,31,0,0,130,0,2,0,3,1,73,0,19,0,1,3,0,0,0,4,4,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0
780,6586,0,1,3,7,9,2,0,0,0,5,4,0,0,14,0,3,0,0,19,1,0,168,0,1,0,2,0,40,0,16,0,6,1,0,0,0,4,1,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,2,1,0
790,6649,0,1,1,9,21,3,0,0,1,0,5,0,0,7,1,4,0,0,12,0,0,118,0,2,0,7,0,52,0,26,0,1,9,0,0,0,3,6,0,0,1,2,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
800,6712,0,2,0,2,9,3,1,0,0,3,3,1,0,15,1,2,0,0,30,0,0,114,0,1,0,1,0,30,0,36,0,6,3,0,0,0,4,12,2,0,0,1,0,28,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,1,2,8,0
810,6775,0,4,0,3,12,3,0,0,0,6,1,0,0,11,0,2,0,1,18,0,0,157,0,0,0,1,0,34,0,33,0,6,5,0,0,0,4,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
830,6901,0,3,1,8,9,3,0,0,0,6,1,0,0,14,0,2,3,0,21,0,0,126,0,3,0,2,0,22,0,28,0,2,6,0,0,0,9,15,0,0,0,0,0,33,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,1,0
840,6964,0,2,3,4,4,3,0,0,0,4,6,0,0,13,0,1,0,1,34,0,0,132,2,0,1,4,0,36,0,31,0,6,5,0,0,0,3,6,0,0,0,0,0,12,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
850,7027,1,4,1,4,4,1,1,0,0,3,2,1,0,15,1,6,0,0,21,1,0,128,0,2,0,0,1,35,0,24,0,7,9,0,0,0,5,8,1,0,0,1,0,16,0,1,3,2,0,0,0,24,0,0,0,0,0,0,5,0,0,0,1,1,3,0
860,7090,0,4,8,3,4,1,0,0,0,1,4,0,0,13,0,0,1,1,21,1,0,197,0,0,0,2,0,26,0,17,0,5,3,0,0,0,2,4,0,0,0,1,0,10,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
870,7153,0,1,3,2,10,2,0,0,0,0,2,0,0,19,0,4,0,0,18,1,0,147,0,0,0,1,0,26,0,34,0,5,3,0,0,0,4,9,0,0,0,2,0,15,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0
880,7216,0,2,2,2,6,1,1,0,0,1,4,0,0,14,0,4,0,4,36,1,0,148,0,4,0,2,0,29,0,24,0,9,1,0,0,0,7,23,0,0,0,4,0,24,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,1,2,1,0,1,0
890,7279,0,2,1,0,4,4,2,0,0,4,2,0,0,14,0,1,0,1,25,0,0,133,0,1,0,2,0,31,0,34,0,8,3,1,0,0,9,12,0,0,0,1,0,27,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,1,0,0,0
900,7342,1,5,0,2,7,3,1,0,0,0,1,0,0,7,0,9,0,3,26,0,0,140,0,4,0,1,0,41,0,31,1,3,1,1,0,0,5,9,0,0,0,1,0,7,0,1,0,0,0,0,0,58,0,0,0,1,0,0,3,0,0,3,1,0,11,0
910,7405,0,1,1,0,5,1,0,0,0,4,2,0,0,12,0,3,2,6,42,0,0,142,0,1,0,5,0,28,0,27,0,4,1,0,0,0,2,12,0,0,0,0,0,29,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,2,2,1,0
920,7468,0,2,2,3,5,5,0,0,0,4,2,0,0,21,1,3,0,2,30,0,0,145,0,1,0,4,0,31,1,27,0,7,7,1,0,0,6,5,1,0,0,1,0,12,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,1,0,3,0,0
930,7531,0,3,1,3,5,2,0,0,0,1,3,0,0,5,1,8,1,3,31,1,0,138,0,0,0,5,0,33,0,35,0,7,7,0,0,0,0,6,0,0,0,1,1,27,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0
940,7594,0,1,6,15,5,1,0,0,0,2,2,1,0,18,1,11,0,1,40,3,0,98,0,2,1,1,0,43,0,18,0,8,4,0,0,0,8,12,1,0,0,8,1,16,0,0,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,1,3,0,0,0
950,7657,0,7,0,6,9,3,2,0,0,6,3,1,0,6,1,14,1,4,51,0,0,100,0,3,0,0,1,36,0,14,0,4,5,2,0,0,2,17,2,0,0,1,0,17,0,0,0,0,0,1,0,65,1,0,0,0,1,0,0,0,0,2,8,6,3,0
960,7720,0,2,1,11,8,2,0,0,0,5,1,0,0,9,1,10,6,13,55,1,0,108,0,1,0,0,0,27,0,15,0,4,3,0,0,0,5,8,0,0,0,1,0,32,0,0,0,0,0,0,1,17,0,0,0,0,2,0,0,0,0,2,3,3,0,0
970,7783,0,1,2,8,3,3,0,0,0,3,2,0,0,7,0,11,3,0,57,1,0,120,0,2,0,3,0,30,0,27,1,10,0,0,0,0,9,10,1,0,0,1,0,14,0,1,0,1,0,0,1,28,0,0,0,0,0,0,0,0,1,2,10,1,0,0
980,7846,0,4,1,4,7,6,0,0,0,11,2,3,0,13,0,14,0,3,42,0,0,89,0,2,0,2,0,32,1,21,0,8,2,1,0,0,2,20,0,0,0,1,0,12,0,1,2,1,0,3,0,123,0,0,0,0,0,0,0,0,1,2,6,7,1,0
990,7909,0,3,1,10,8,2,0,0,0,6,8,0,0,11,0,4,4,3,55,0,0,134,0,1,0,3,0,27,0,19,0,7,3,1,0,0,9,15,0,0,0,1,0,13,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,2,4,8,0
1000,8930,2,1,0,7,6,5,0,0,0,7,0,4,0,3,1,4,0,1,38,0,0,163,0,2,0,5,0,49,0,22,1,3,4,0,0,0,4,8,1,0,0,3,0,17,0,1,1,0,0,1,0,31,0,0,1,0,0,0,0,0,2,1,4,3,2,0
1010,8957,0,3,1,2,7,1,0,0,0,2,4,0,0,5,0,2,0,0,25,0,0,151,0,3,0,0,0,25,0,35,0,3,0,1,0,0,6,3,0,1,0,0,0,15,0,0,0,1,0,2,0,60,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1020,8984,0,0,0,3,11,0,0,0,0,1,4,0,0,10,0,0,1,3,35,1,0,141,0,4,0,2,0,32,0,31,2,2,4,0,0,0,5,2,0,0,0,0,0,15,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0
1030,9010,0,5,0,3,9,1,0,0,0,4,0,0,0,11,0,0,2,3,33,0,0,151,0,2,0,4,0,32,0,15,0,6,2,0,0,0,4,4,0,0,0,1,0,15,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1040,9037,1,0,1,8,6,1,0,0,0,7,1,0,0,14,0,7,0,0,39,1,0,155,0,1,0,3,0,30,0,34,0,0,3,1,0,0,3,8,0,0,0,0,0,20,0,0,0,0,0,0,0,48,0,0,0,0,1,0,0,0,0,1,5,0,0,0
1050,9063,1,2,7,11,3,0,0,0,0,2,4,0,0,19,0,5,1,1,46,2,0,103,0,3,0,2,0,26,0,30,0,4,3,0,0,0,4,3,0,0,0,0,0,22,0,0,0,0,1,1,0,233,0,0,0,0,0,0,1,0,0,0,3,0,0,0
1060,9090,0,3,1,8,9,3,0,0,0,8,4,0,0,20,0,6,1,1,44,1,0,118,0,2,0,2,0,30,0,18,0,5,4,0,0,0,5,5,0,0,0,0,0,15,0,0,0,0,0,1,0,356,0,0,0,0,1,0,0,0,0,4,7,0,0,0
1070,9116,1,1,1,12,8,3,0,0,0,7,3,0,0,11,0,24,0,0,44,1,0,98,0,3,0,2,0,35,0,18,0,5,1,2,0,0,1,4,0,0,0,1,0,24,0,0,0,0,0,0,0,98,0,0,0,0,1,0,1,0,0,2,4,0,3,0
1080,9143,0,6,2,9,1,3,0,0,0,4,1,0,0,13,1,10,0,0,47,0,0,116,0,2,0,5,0,29,0,25,0,8,2,0,0,0,11,3,0,0,0,0,0,13,0,0,1,1,0,1,0,140,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1100,9196,1,1,0,9,5,2,0,0,0,13,2,0,0,19,0,3,3,0,51,1,0,106,0,1,0,2,0,39,0,16,0,5,5,0,0,0,6,1,0,0,0,1,0,25,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,3,3,0,0,0
1110,9223,1,1,2,11,6,2,0,0,0,9,1,2,0,6,1,13,0,0,44,3,0,123,0,5,0,3,0,21,0,20,1,3,3,3,0,0,6,5,0,0,0,0,0,32,0,0,0,1,0,0,0,128,0,0,0,0,0,0,0,0,0,9,6,0,0,0
1120,9249,0,2,2,6,5,1,0,0,0,5,0,0,0,20,0,4,0,3,49,0,0,121,0,2,0,4,0,33,0,29,0,6,2,0,0,0,9,0,0,1,0,0,0,16,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,2,4,0,0,0
1130,9276,0,2,0,9,3,0,0,0,0,2,3,0,0,6,0,2,0,0,35,0,0,149,0,2,0,1,0,24,0,30,0,4,5,1,0,0,11,4,0,0,0,1,0,17,0,0,0,0,0,1,0,99,0,0,0,0,0,0,0,0,0,1,2,1,0,0
1140,9302,0,4,1,4,6,1,0,0,0,5,5,0,0,10,0,2,0,0,48,1,0,179,0,0,0,2,0,31,0,20,0,2,1,0,0,0,3,3,0,1,0,0,0,18,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,2,0,2,0
1150,9329,1,2,3,10,5,5,0,0,0,3,2,0,0,15,0,1,1,0,33,0,0,152,0,6,0,2,0,38,0,15,0,1,2,0,0,0,5,4,0,1,0,0,0,8,0,0,1,0,0,1,0,45,0,0,0,0,0,0,0,0,0,1,2,0,0,0
1160,9355,1,2,2,7,7,0,0,0,0,2,2,0,0,13,0,3,0,0,54,0,0,140,0,0,0,4,0,26,0,28,0,4,0,0,0,0,6,4,0,0,0,0,0,15,0,0,0,0,0,1,0,83,0,0,0,0,0,0,0,0,0,2,2,0,2,0
1170,9382,1,1,3,6,9,6,0,0,0,4,3,0,0,11,0,2,4,2,46,0,0,128,0,1,0,2,0,31,0,17,0,7,1,0,0,0,9,7,0,0,0,0,0,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,2,1,0
1180,9730,0,1,2,11,2,4,0,0,0,4,0,0,0,16,0,2,0,1,37,0,0,128,0,1,0,5,0,44,0,15,0,2,3,0,0,0,6,5,0,1,0,0,0,12,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,2,7,0,1,0
1190,10062,5,3,4,16,13,5,0,0,0,4,1,1,0,16,1,7,3,2,62,0,0,80,0,0,0,1,0,51,0,8,1,1,1,0,0,0,5,6,0,0,0,1,0,18,0,0,3,0,0,0,0,29,0,0,0,0,0,0,1,0,0,2,8,5,2,0
1220,10618,0,4,0,8,5,2,0,0,0,11,3,0,0,21,1,2,6,4,51,1,0,109,0,3,0,4,0,54,0,7,0,1,3,1,0,0,0,10,0,0,0,2,0,9,0,1,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,3,2,0
1230,10803,1,6,0,4,7,4,0,0,0,15,5,1,0,40,0,2,9,1,45,0,0,107,0,0,0,1,0,51,0,7,0,2,0,0,0,0,0,5,0,0,0,1,0,10,0,0,2,1,0,0,2,21,0,0,0,0,0,0,0,0,1,0,4,1,2,0
1240,10988,0,4,0,13,5,5,0,0,0,25,8,5,0,14,0,3,6,0,62,1,0,79,0,5,0,1,0,58,0,2,0,1,1,0,0,0,3,5,0,0,0,1,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,2,0,0
1250,NA,14,3,1,66,4,11,0,0,0,45,0,7,0,10,0,29,33,6,99,0,0,37,0,2,0,0,0,68,0,1,0,1,0,1,0,0,1,4,0,0,0,11,0,7,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0,2,1,2,5,3,0
1260,NA,15,4,7,32,1,2,1,0,0,28,0,7,0,21,0,81,8,1,46,1,0,25,0,7,0,0,0,22,0,4,0,6,3,1,0,0,3,20,0,0,0,0,0,11,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1270,NA,8,1,11,35,0,3,0,0,0,28,0,4,0,16,1,88,3,0,11,0,0,26,0,4,0,0,0,20,0,5,0,16,0,3,0,0,3,25,0,0,0,0,0,9,0,0,1,0,0,3,0,128,0,0,0,0,0,0,2,0,0,2,2,5,1,0
1280,NA,4,0,10,25,1,10,0,0,0,11,1,4,0,19,0,95,2,0,20,0,1,34,0,5,0,0,0,7,0,8,0,18,3,1,0,0,4,11,0,0,0,2,0,10,0,0,1,0,0,1,0,274,0,0,0,0,0,0,3,0,0,0,0,2,1,0
1290,NA,6,1,6,11,2,4,1,0,0,22,1,4,0,9,1,151,1,0,6,0,1,15,0,3,0,0,0,6,0,4,0,11,2,0,0,0,2,14,0,2,0,1,0,16,0,0,0,0,0,1,2,143,0,0,0,0,0,0,2,0,0,3,4,7,2,0
1300,NA,8,2,3,3,1,21,0,0,0,38,0,2,0,27,0,89,0,0,11,0,0,20,0,7,0,0,0,12,0,16,0,26,7,0,0,0,5,14,0,1,0,10,1,14,0,0,0,1,0,2,1,205,0,0,0,0,0,0,0,0,0,3,0,1,0,0
1310,NA,0,1,1,3,2,6,0,0,0,63,1,0,0,12,1,115,0,0,1,0,3,30,0,2,0,0,0,7,0,9,1,15,1,0,0,0,1,12,0,2,0,0,0,11,0,0,0,1,0,2,0,68,0,0,0,0,0,0,4,0,0,0,0,2,0,0
1320,NA,1,1,2,1,0,0,0,0,0,50,0,3,0,11,1,194,0,0,3,0,2,16,0,0,0,0,0,5,0,8,0,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1330,NA,0,1,2,0,1,2,0,0,0,42,0,2,0,10,0,187,0,0,1,0,1,19,1,1,0,0,0,4,0,3,0,10,3,0,0,0,0,10,0,1,0,1,0,22,0,0,0,1,0,2,0,64,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1340,NA,0,0,4,6,0,0,0,1,0,20,0,5,0,4,0,193,0,1,3,0,2,6,0,3,0,0,0,3,0,6,0,9,5,0,0,0,0,10,1,5,0,7,0,13,1,0,0,0,0,2,0,113,0,0,0,2,0,0,0,0,0,1,3,0,2,0
1350,NA,2,1,4,3,0,2,0,0,0,4,0,5,0,3,0,200,0,0,9,0,0,8,0,5,0,0,0,2,1,8,0,18,5,0,0,0,1,14,0,1,0,2,0,3,0,0,0,1,0,4,0,122,0,0,0,0,0,0,2,0,0,0,1,1,2,0
1360,NA,0,0,4,2,0,0,1,0,0,8,0,1,0,3,0,208,0,0,3,0,0,10,0,0,0,0,0,1,0,1,0,16,2,0,0,0,1,26,0,0,0,0,0,11,0,2,0,2,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1370,NA,1,1,5,29,0,2,0,0,0,3,0,2,0,2,0,169,1,0,4,0,10,6,0,3,0,0,0,0,0,2,0,31,4,0,0,1,2,16,0,0,0,0,0,9,0,0,1,0,0,3,0,18,0,0,0,3,0,0,2,0,0,0,0,6,0,1
1380,NA,0,3,5,23,2,0,0,0,0,1,1,3,0,5,0,150,1,0,4,0,4,12,0,6,0,0,0,0,0,3,0,43,8,0,0,2,2,28,0,0,0,6,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
1400,NA,0,2,4,11,0,2,1,0,0,4,0,2,1,3,1,190,2,0,10,0,3,4,0,2,0,1,0,3,0,4,0,25,7,0,0,0,4,20,0,0,0,2,0,17,0,0,3,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,7,1,0
