"sample.depths","sample.ages","upland.sum","Abies.balsamea","Abies.undiff.","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Andromeda","Arctostaphylos","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.suecica","Corylus","Cupressaceae","Elaeagnus","Empetrum.type","Ephedra","Ericaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Hippophae.rhamnoides","Ilex","Juglans","Larix","Ledum","Liquidambar","Morus","Myrica","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Rhus","Ribes.undiff.","Ribes.aureum","Rubus","Salix","Sambucus","Shepherdia.canadensis","Sorbus","Taxus","Tilia","Tsuga.canadensis","Ulmus","Vaccinium.type","Viburnum","Allium","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Astragalus","Brassicaceae","Campanulaceae","Caryophyllaceae.undiff.","Chenopodiaceae","Convolvulus","Cyperaceae.undiff.","Dipsacaceae","Dryas","Epilobium.latifolium","Euphorbiaceae","Fabaceae.undiff.","Fragaria","Galium","Gentianaceae","Geum","Humulus","Hypericum","Iris","Iva","Juncaceae","Lamiaceae.undiff.","Liliaceae","Linum","Lotus","Lysimachia","Moneses.uniflora","Oenothera","Oxalis","Papaver.argemone","Parnassia","Plantago","Poaceae","Polygonaceae.undiff.","Polygonum.aviculare.type","Polygonum.viviparum.type","Polygonum.type","Potentilla","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.acetosa","Rumex.type.undiff.","Rumex.Oxyria.digyna.undiff.","Sanguisorba","Saxifraga.cernua","Saxifraga.stellaris","Saxifragaceae.undiff.","Scrophularia","Solanum","Spergula","Stachys","Thalictrum","Trientalis","Urtica"
446,12399,563,16,22,0,0,0,0,0,0,0,1,2,5,0,0,96,0,0,0,0,0,0,0,10,34,0,0,0,36,0,0,4,0,1,2,7,0,0,1,2,10,93,20,0,20,0,5,4,0,0,0,0,0,0,39,1,0,0,0,0,1,2,2,0,0,2,0,2,13,0,0,0,0,1,2,0,0,52,0,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,20,0,2,0,0,0,0,3,0,0,0,0,4,0,4
446.5,12430,525,24,34,0,0,0,0,0,0,0,3,3,6,0,0,77,0,0,0,0,0,0,0,12,50,0,0,0,26,1,2,0,0,0,1,1,0,0,0,3,15,78,16,0,19,0,4,7,1,0,0,0,0,0,24,2,0,0,0,0,0,3,2,0,0,2,1,4,14,0,0,0,1,0,1,0,0,34,0,0,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,13,1,5,2,0,0,0,5,0,0,0,0,0,0,8
447,12460,583,23,30,0,0,0,0,0,0,0,10,6,13,0,1,145,0,0,0,0,0,0,0,14,22,0,0,0,32,0,0,0,0,0,0,1,0,0,2,9,9,55,24,2,26,0,3,4,1,0,0,0,0,0,28,2,1,0,0,0,1,2,7,0,0,0,1,4,13,0,0,0,0,2,1,0,0,48,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,11,1,4,0,0,0,0,2,0,0,0,0,3,0,1
447.5,12491,914,15,18,0,0,0,0,0,0,0,16,8,17,0,2,309,1,0,0,0,0,0,0,11,23,0,0,0,40,0,1,0,0,0,0,0,0,0,0,12,15,100,42,22,22,0,1,4,0,0,0,0,0,0,43,2,0,0,0,0,3,4,14,0,0,2,0,6,15,0,0,0,4,0,2,0,0,72,0,0,3,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,14,0,0,0,0,1,2,3,0,6,3,0,0,0,4,1,0,0,0,4,0,13
449,12582,542,1,2,0,0,0,0,0,0,0,6,3,16,0,0,166,0,1,0,0,0,0,0,1,32,0,0,0,16,0,0,0,0,0,0,1,0,0,0,5,7,75,14,19,34,0,3,5,0,2,0,0,0,0,30,1,1,0,0,0,0,1,5,0,0,0,0,3,7,0,0,0,0,1,0,0,0,66,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,1
450,12643,504,0,0,0,0,0,0,0,0,0,41,0,11,0,0,228,0,0,0,0,0,0,0,0,10,0,0,0,6,0,2,0,0,0,0,0,0,1,0,3,1,47,17,5,20,0,0,8,0,2,0,0,0,0,28,0,0,0,0,0,2,3,0,0,0,0,0,1,8,0,1,0,1,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0
451,12704,534,4,4,0,0,0,0,0,0,0,16,3,11,0,1,224,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,8,52,20,10,12,0,0,7,0,3,0,0,0,0,26,0,0,0,0,0,2,2,4,0,0,0,0,3,9,2,0,0,1,0,1,0,0,56,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,1,0,2
452,12765,595,1,2,0,0,0,0,0,0,0,8,7,17,0,2,201,0,0,1,0,0,0,0,3,31,0,0,0,29,0,0,0,0,0,1,2,0,0,0,3,12,77,19,13,24,0,2,2,0,1,0,0,0,0,31,1,0,0,0,0,0,2,0,0,0,2,0,5,17,2,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0
453,12826,852,4,4,0,0,1,0,0,0,1,11,10,45,0,0,257,1,0,0,0,2,0,0,16,40,0,0,0,25,0,0,0,0,0,0,0,0,0,1,2,12,74,22,5,24,0,4,10,0,1,1,0,0,0,45,5,0,0,0,0,5,5,14,0,0,2,0,7,23,0,0,0,0,1,2,0,0,95,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,2,17,0,4,0,0,0,0,5,0,0,0,2,1,0,7
454,12886,561,1,2,0,0,0,0,0,0,0,9,15,19,0,0,164,0,0,0,0,0,0,0,2,34,0,0,0,13,0,0,1,0,0,1,1,1,0,0,9,11,69,16,2,22,0,0,1,0,1,0,0,0,0,38,4,0,0,0,0,1,5,1,0,0,1,0,5,12,1,0,0,0,0,2,1,0,74,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,1,2,0,2
455,12937,455,0,0,0,0,0,0,0,0,0,26,0,11,0,0,138,0,0,0,0,0,0,0,7,39,0,0,0,6,0,0,0,0,0,1,0,0,0,1,5,10,56,25,7,16,0,0,15,0,2,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
456,12977,645,6,8,0,0,0,0,0,0,2,12,15,19,0,0,179,0,0,0,0,0,0,0,6,50,0,0,0,14,0,3,0,0,0,1,0,1,0,0,4,9,82,32,4,26,0,1,1,0,2,0,0,0,0,33,2,0,0,0,0,2,2,4,0,0,0,1,3,14,1,0,0,1,0,3,0,0,56,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13,0,1,0,0,0,0,4,0,0,0,0,2,0,2
457.5,13037,880,24,34,0,0,0,0,0,0,0,14,25,19,0,2,242,0,0,1,0,0,0,0,18,55,0,1,0,17,0,2,0,0,0,0,1,0,0,0,10,18,81,47,8,33,0,2,2,0,3,0,0,0,0,33,3,0,0,0,0,1,2,3,0,0,3,0,11,9,1,0,0,0,2,1,2,0,78,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,19,0,0,0,1,0,1,10,0,0,0,0,0,0,5,0,0,0,0,3,0,13
458,13057,892,16,23,0,0,0,0,0,0,0,25,25,25,0,0,254,0,0,0,0,1,0,0,21,54,0,0,0,7,0,1,0,0,0,0,2,0,0,0,6,16,91,55,11,28,2,2,2,0,3,0,0,0,0,32,1,1,0,0,0,1,2,4,0,0,1,0,9,16,0,0,0,2,2,1,0,0,76,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,19,0,2,2,0,0,0,4,0,0,0,0,0,0,13
458.5,13077,880,10,14,0,0,0,0,0,0,0,19,17,25,0,0,241,0,0,2,0,3,0,1,6,60,0,1,0,10,0,1,1,0,0,0,1,0,0,0,15,11,105,49,11,27,0,4,3,0,5,0,0,0,0,42,0,1,0,0,0,2,7,2,0,0,1,0,10,17,1,0,0,3,2,0,0,0,89,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,1,12,0,2,2,0,0,0,4,0,0,0,0,4,0,10
459,13097,583,10,12,1,0,0,0,0,0,1,14,10,8,0,1,118,1,0,0,0,0,0,2,10,45,0,0,0,8,1,0,1,0,0,0,4,0,0,0,5,4,79,33,3,16,0,12,6,0,5,0,0,0,0,27,0,1,0,0,0,0,5,0,0,0,0,0,7,18,1,0,0,3,0,1,0,0,63,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,12,0,2,1,0,0,0,5,0,0,0,0,2,0,6
459.5,13117,575,9,14,0,0,0,0,0,0,0,12,7,12,0,0,90,0,0,1,1,1,1,0,8,59,0,1,0,6,1,2,2,0,1,0,2,0,0,0,4,5,91,28,4,19,2,12,0,0,4,0,0,0,0,25,3,2,0,0,0,0,1,0,0,0,1,2,2,11,3,0,0,2,1,1,1,0,65,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18,0,1,1,0,0,0,5,0,0,0,1,1,0,11
460,13137,602,14,18,0,0,0,0,0,0,0,1,8,8,0,1,84,0,0,0,0,0,0,2,7,78,0,0,0,8,0,2,6,0,0,0,8,1,0,0,8,3,119,44,5,20,0,13,1,0,8,0,0,0,0,15,0,0,1,0,0,1,3,2,0,1,2,1,3,14,1,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,14,0,0,0,0,0,0,9,0,0,1,1,1,0,5
460.5,13157,821,18,25,0,0,0,0,0,0,0,4,19,14,1,1,136,1,0,0,0,0,0,0,18,59,0,0,0,10,0,0,6,1,0,0,2,1,0,0,9,7,158,43,4,28,0,14,3,0,7,0,0,0,0,61,0,0,0,0,0,0,2,3,0,0,1,1,12,15,1,0,0,5,0,2,0,0,57,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,2,22,0,1,1,0,0,0,8,0,0,0,1,3,0,7
461,13172,508,24,32,0,0,0,0,0,0,0,7,0,9,0,0,56,0,0,0,0,1,1,0,3,26,0,0,0,1,0,1,5,0,0,0,0,0,0,0,6,12,130,24,1,12,0,6,1,0,8,0,0,0,0,18,0,0,0,0,0,2,3,0,0,0,2,0,6,16,0,0,0,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,12
462,13202,553,12,13,0,0,0,0,0,0,0,7,1,11,0,0,113,0,1,0,0,0,0,0,4,56,0,0,0,7,0,1,0,0,0,0,0,1,0,0,17,7,105,35,1,29,0,1,1,0,1,0,0,0,0,18,4,1,0,0,0,0,1,2,0,0,0,0,4,13,0,0,0,0,1,1,0,0,47,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,16,0,0,0,0,0,0,3,0,0,0,0,0,0,3
463,13233,594,7,8,0,0,0,0,0,0,0,12,2,24,0,0,126,0,0,0,0,1,1,0,8,71,0,0,0,5,0,0,0,0,0,2,1,0,0,0,15,11,123,31,2,20,0,3,6,0,7,0,0,0,0,16,1,0,0,0,0,1,3,1,0,0,2,0,8,8,0,0,0,0,1,0,2,0,41,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,4
464,13263,518,11,14,0,0,0,0,0,0,0,8,4,8,0,0,53,0,0,1,0,0,0,0,3,45,0,0,0,5,0,0,1,0,0,0,0,0,0,1,7,11,141,25,2,27,0,4,6,0,2,0,0,0,0,15,6,1,0,0,0,0,2,0,0,0,3,0,5,28,1,0,1,0,0,1,1,0,46,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,2
465,13293,463,0,0,0,0,0,0,0,0,0,18,0,2,0,0,43,1,0,1,0,0,0,0,3,54,0,0,0,0,0,2,2,0,0,0,0,0,0,0,18,14,138,38,1,2,0,3,12,0,10,0,4,1,0,20,0,1,0,4,0,1,3,0,7,0,1,0,3,18,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0
466,13323,528,21,28,0,0,0,0,0,0,0,2,1,11,0,0,31,1,0,0,0,2,0,0,4,61,0,0,0,2,0,1,4,0,0,0,1,2,0,2,10,11,151,24,1,11,0,14,21,0,10,0,0,0,1,17,2,0,0,3,0,0,5,0,0,0,3,0,3,11,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1
467,13353,558,12,16,0,0,0,0,0,0,0,3,1,5,0,0,36,0,0,0,0,0,0,0,4,64,0,0,0,6,3,10,2,0,0,0,1,0,0,0,16,23,163,20,1,8,0,25,29,0,17,0,0,0,0,9,2,0,0,0,1,0,4,1,0,0,3,0,4,11,1,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,11,0,0,0,0,0,0,8,0,0,0,0,0,0,6
468,13383,531,10,14,0,0,0,0,0,0,0,2,1,7,0,0,25,0,0,0,0,1,0,1,2,87,0,0,0,7,1,7,3,0,0,0,0,2,0,0,11,14,183,26,1,6,0,7,16,0,16,0,0,0,0,5,4,0,0,0,0,0,4,2,0,0,0,1,5,9,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3
470,13444,488,0,0,0,0,0,0,0,0,0,3,0,0,0,0,27,0,0,0,0,0,3,0,1,100,0,0,0,3,0,0,1,0,1,0,0,0,0,0,4,22,169,24,0,4,1,6,19,0,11,0,0,0,0,13,0,0,0,2,0,0,5,0,0,0,4,0,5,9,0,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,4
471.5,13489,605,8,10,0,0,0,0,0,0,0,1,0,2,0,0,52,0,0,0,0,2,0,0,1,118,0,0,0,7,0,5,1,0,0,0,0,0,0,0,3,7,134,31,0,14,0,41,33,0,0,0,0,0,0,17,3,1,0,0,0,0,3,2,0,0,0,0,7,11,0,0,0,0,0,1,0,0,37,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,22,0,1,0,0,0,0,3,0,0,0,0,0,0,6
472,NA,540,9,12,0,0,0,0,0,0,0,2,0,2,0,0,44,0,0,0,0,1,0,0,2,91,0,0,0,4,0,7,0,0,0,0,0,1,0,0,3,8,124,28,0,8,0,44,36,0,0,0,0,0,0,15,3,4,0,0,0,0,2,0,0,0,1,0,4,21,0,0,0,1,0,0,0,0,27,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,0,2
473.5,NA,667,13,17,0,0,0,0,0,0,0,1,0,2,0,0,52,0,0,0,0,0,0,0,2,87,0,0,0,8,0,10,0,0,0,0,1,0,0,0,2,13,198,21,0,8,0,33,58,0,0,0,0,0,0,16,5,1,0,0,0,0,2,0,0,0,1,0,0,7,0,3,0,0,0,1,0,0,34,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,26,0,0,0,0,9,0,12,0,0,0,2,0,0,4
474,NA,533,11,12,0,0,0,0,1,0,1,0,0,0,0,0,63,0,0,0,0,2,0,0,3,64,0,0,0,2,0,3,0,0,0,0,2,0,0,0,4,4,113,21,0,4,0,68,35,0,0,0,0,0,0,28,5,1,0,0,0,0,0,0,0,0,3,1,8,5,0,0,0,0,0,1,1,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,2,10,0,0,0,0,3,0,9,0,0,0,1,1,0,5
475,NA,520,0,0,0,0,0,0,0,0,2,2,0,2,0,0,41,0,0,0,0,0,0,0,3,116,0,0,0,8,0,4,6,0,2,0,1,0,0,0,5,12,123,10,0,2,0,20,56,0,10,0,0,0,0,9,0,0,0,3,0,0,5,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,53,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,1
480,NA,493,1,1,0,0,0,0,0,0,0,1,0,2,0,0,36,0,0,4,0,0,0,0,2,102,0,0,0,2,0,2,2,0,0,0,1,0,0,1,2,7,21,12,0,7,0,16,78,0,10,0,0,0,0,35,0,4,0,4,0,0,2,0,0,0,1,1,3,6,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2
485,NA,203,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,3,44,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,4,14,8,0,0,0,1,15,0,4,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
