"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.undiff.","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Clethra","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Equisetum","Ericaceae.undiff.","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Geranium","Geum.type","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","IsoÃ«tes","Juglans.cinerea","Juglans.nigra","Kalmia","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.media","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Polypodium.type","Pontederiaceae","Populus","Portulacaceae","Potamogetonaceae","Potentilla.type","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rubus","Rumex","Sagittaria","Salix","Sambucus","Sanguisorba","Saxifragaceae","Scrophulariaceae","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum","Vitis"
0,-105,0,0,2,2,0,8,0,0,4,0,16,0,0,1,1,120,0,0,0,0,2,0,1,0,0,1,0,0,8,1,1,0,0,0,0,0,0,71,2,8,3,0,0,0,0,0,0,16,18,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,0,8,8,24,1,1,1,11,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,10,0,0,1,0,0,0,0,2,0,0,1,58,0,5,2,0,2,0
10,506,1,0,1,2,0,9,1,0,12,0,0,0,0,1,2,140,0,0,0,0,12,0,10,0,0,0,0,0,10,4,0,0,0,0,1,0,0,129,2,17,6,0,0,0,1,0,1,15,21,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,12,0,17,6,22,0,0,1,0,0,0,0,1,0,0,0,0,0,2,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,101,0,6,2,0,1,0
20,1175,0,0,0,1,0,9,0,0,7,0,0,0,0,0,0,95,0,0,0,0,4,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,86,2,8,1,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,10,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57,0,6,2,0,0,0
29,1768,0,0,3,0,0,13,0,0,5,0,0,0,0,0,0,108,0,0,0,0,5,0,7,0,0,0,0,0,4,2,0,0,0,0,0,0,0,93,4,4,3,0,1,0,0,0,1,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,11,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80,0,11,1,0,1,0
40,2438,0,0,1,2,0,31,0,0,7,0,0,0,0,1,0,186,0,0,0,0,14,0,8,0,0,0,0,0,7,2,7,0,0,0,0,0,0,188,6,26,5,0,0,0,1,0,2,16,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,18,44,0,0,3,2,0,0,0,1,0,0,0,0,0,0,116,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,114,0,18,2,0,0,0
50,2987,0,0,0,3,0,14,0,0,4,0,0,0,0,1,0,89,0,0,0,0,6,0,4,0,0,0,0,0,4,0,3,0,0,0,1,0,0,82,1,10,3,0,0,0,1,0,2,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,4,7,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,0,2,1,0,1,0
60,3467,2,0,2,1,0,29,0,0,10,0,1,0,0,0,2,135,1,0,1,0,8,0,4,0,0,0,0,0,6,2,2,0,0,0,0,0,0,156,2,22,3,0,0,0,0,0,2,7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,3,17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,66,0,12,1,0,1,0
70,3871,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,46,0,0,0,0,4,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,53,2,8,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0
80,4191,1,0,3,4,0,31,0,0,13,0,1,0,0,0,0,165,0,0,0,0,14,0,5,0,0,0,0,0,4,6,3,0,0,0,0,0,0,176,3,22,3,0,0,0,0,0,4,30,5,4,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,26,0,2,24,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,27,0,12,6,0,0,0
85,4328,0,0,10,15,0,17,0,0,9,0,2,0,0,1,0,190,0,0,0,0,8,0,1,1,0,0,0,1,15,0,1,0,0,0,0,0,0,205,7,24,2,0,0,0,0,0,0,12,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,14,0,0,22,44,0,0,3,3,0,0,0,1,0,1,0,0,0,1,189,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,23,0,23,4,0,0,0
101,4704,0,0,2,3,0,8,0,0,4,0,0,0,0,0,0,66,0,0,0,0,7,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,65,1,5,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,4,0,0,0,0
110,4894,0,0,1,1,0,20,0,0,8,0,0,0,0,1,2,107,0,0,0,0,10,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,111,0,16,0,0,0,0,0,0,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,7,9,0,0,4,1,0,0,0,1,0,0,0,0,0,0,53,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,14,0,6,3,0,0,0
120,5105,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,109,0,0,0,0,3,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,79,1,17,4,2,0,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,4,14,0,0,2,0,0,0,0,0,1,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,37,0,5,1,0,0,0
125,5219,0,0,0,1,2,16,0,0,3,0,1,0,0,2,1,184,0,0,0,0,10,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,136,4,17,2,0,0,0,1,0,0,4,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,20,0,0,1,1,0,0,0,0,0,1,0,0,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,141,0,5,2,0,0,0
130,5348,0,0,1,1,0,11,0,0,6,1,0,0,0,0,0,100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,2,11,5,0,0,0,0,0,0,9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,8,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,158,0,5,3,0,0,0
140,5651,0,0,2,0,0,10,0,0,3,0,1,0,0,0,0,57,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,4,2,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,4,12,0,0,1,1,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,0,6,1,0,0,0
150,6001,0,3,0,10,1,31,0,0,13,1,2,0,0,0,0,216,0,0,0,0,15,0,3,0,0,0,0,0,5,0,2,1,0,0,0,0,0,222,4,18,5,0,0,0,0,0,0,1,14,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,10,31,0,0,8,2,0,1,0,0,0,0,0,0,0,1,160,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,359,0,22,3,0,0,1
160,6381,0,0,2,1,0,12,0,0,2,0,0,0,0,0,0,95,0,0,0,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,108,6,5,3,0,0,0,0,0,0,8,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,9,7,0,0,4,1,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,154,0,8,7,0,0,0
170,6772,0,0,4,1,1,20,0,0,3,0,3,0,0,0,0,113,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,121,4,8,4,0,0,0,1,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,2,10,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,72,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,215,0,9,3,0,0,0
180,7157,0,0,2,0,0,12,0,0,5,0,0,0,0,0,1,67,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,0,3,2,0,0,0,0,0,0,14,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,4,11,0,0,3,0,0,0,0,1,0,0,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,0,8,2,0,0,0
190,7519,0,0,0,1,2,8,0,0,6,0,1,0,0,1,0,130,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,103,1,15,2,0,0,0,0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,14,22,0,0,8,1,0,0,0,0,0,0,1,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,182,0,19,3,0,0,0
200,7839,0,0,6,3,2,14,0,0,5,2,3,0,0,0,0,279,0,0,0,0,4,0,1,0,0,0,1,0,4,0,3,0,0,0,0,0,0,137,1,14,5,0,0,0,0,0,2,28,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,16,0,2,60,61,0,0,4,0,0,0,0,0,0,0,0,0,0,0,157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,268,0,12,3,0,1,0
210,8101,0,0,0,1,1,6,0,0,1,1,1,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,0,6,5,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,13,58,0,0,1,1,0,0,0,1,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,106,0,7,5,0,0,0
220,8286,0,1,1,1,8,0,0,0,5,2,3,0,0,0,0,31,0,0,0,0,2,0,1,0,0,0,0,0,3,1,6,0,0,0,0,0,0,4,1,8,10,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,41,48,0,0,2,2,0,0,0,0,0,0,0,0,0,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,1,14,5,0,1,0
223,8327,1,0,1,1,0,9,0,0,3,0,2,0,0,1,0,35,0,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,20,7,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,1,50,60,0,0,0,0,0,0,0,5,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,10,1,0,0,1
225,8351,0,0,0,1,2,7,0,0,6,0,3,0,0,0,0,40,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,13,6,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,22,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,7,2,0,0,0
228,8385,1,0,0,7,0,35,0,0,9,0,6,0,0,2,1,68,0,0,0,0,2,0,1,0,1,0,0,1,7,2,0,0,0,0,0,0,0,2,6,37,11,0,0,0,0,0,3,6,5,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,1,45,0,1,88,187,0,0,6,1,0,0,0,0,0,0,0,0,0,1,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,156,0,32,4,0,0,0
230,8407,0,1,3,6,3,9,0,0,5,0,2,0,0,0,1,45,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,5,5,16,16,0,0,0,0,0,1,7,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,6,69,145,0,0,2,2,0,1,0,1,0,0,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,130,0,10,5,0,0,0
240,8521,1,0,2,2,6,12,0,0,9,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,5,25,6,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,35,0,6,77,167,0,0,4,1,0,0,5,0,0,0,0,0,0,2,218,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,183,0,14,9,0,0,0
250,8679,3,1,0,7,11,17,1,0,14,0,9,0,0,1,1,107,0,0,0,0,4,0,0,1,0,0,0,0,8,3,4,0,0,0,0,1,0,6,8,36,30,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,12,239,336,0,0,5,2,0,0,0,0,0,0,0,0,0,1,551,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,432,0,33,3,0,0,0
260,8874,2,0,4,2,0,15,0,0,13,1,2,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,6,20,12,0,0,0,0,0,1,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,79,159,0,0,1,0,0,0,0,0,0,0,0,0,0,1,232,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,2,137,0,9,4,0,0,0
270,9092,2,0,3,1,1,8,0,0,16,0,0,0,0,0,2,65,0,0,0,0,3,0,2,0,0,0,0,0,4,1,6,0,0,0,0,0,0,3,5,23,8,0,0,0,1,0,4,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,7,140,248,0,0,4,0,0,0,0,1,0,0,0,0,0,3,316,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,150,0,21,9,0,0,0
280,9317,3,1,1,1,7,17,1,0,7,0,2,0,0,1,1,64,0,0,0,0,4,0,1,0,0,0,0,0,6,3,4,0,0,0,0,0,0,1,7,12,10,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,8,144,278,0,0,6,1,0,0,0,0,0,1,0,0,0,0,331,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,134,0,19,3,0,1,0
290,9570,4,0,5,5,1,14,0,0,8,0,0,0,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,1,3,13,15,0,0,0,0,0,1,13,4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,49,0,12,159,314,0,0,5,2,0,0,0,1,0,0,0,0,0,0,304,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,88,0,11,4,0,0,0
300,9878,9,1,0,8,2,13,0,0,13,0,0,0,0,4,1,82,0,0,0,0,2,0,0,0,0,0,0,0,6,1,2,1,0,0,0,0,0,0,5,9,10,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,15,268,376,0,0,2,0,0,0,0,0,0,0,0,0,0,3,367,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,78,0,15,4,0,0,0
310,10213,13,0,1,5,0,14,0,1,11,0,4,0,0,2,1,97,1,0,0,0,1,0,1,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,7,26,17,0,0,0,0,0,3,21,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,22,303,460,0,0,4,1,0,0,0,0,0,0,0,0,0,1,502,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,30,2,24,5,0,0,0
320,10544,7,0,0,1,5,8,1,0,21,0,2,0,0,2,2,116,0,0,0,0,1,0,0,0,0,0,0,0,20,6,8,1,0,0,0,0,0,0,15,22,19,0,0,0,0,0,0,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,24,184,493,0,0,1,5,0,0,0,1,0,0,0,0,0,0,549,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,35,1,38,2,0,0,0
330,10841,12,0,2,5,0,24,0,0,33,0,0,0,0,2,0,147,0,0,0,1,5,0,1,0,0,0,0,0,11,2,8,0,0,0,1,0,0,1,8,36,36,0,0,0,0,0,3,16,7,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,91,0,31,373,469,0,0,3,2,0,0,0,2,0,3,0,0,0,5,688,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,37,0,25,7,0,1,0
340,11074,26,0,1,4,0,27,0,0,42,0,3,0,0,1,2,162,0,0,0,0,0,0,2,0,0,0,0,0,19,2,8,0,0,0,0,0,0,1,22,20,52,0,0,0,1,0,3,12,15,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,75,0,31,458,554,0,0,4,4,0,0,0,1,0,2,0,0,0,3,581,0,0,0,0,0,0,2,1,0,0,0,0,4,5,0,0,32,0,26,8,0,1,0
350,11223,30,0,4,6,0,11,0,0,23,1,2,0,0,1,0,130,0,0,0,0,2,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,4,4,7,24,0,0,0,0,0,1,5,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,25,206,472,0,0,2,5,0,0,0,0,0,0,0,0,0,0,334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,5,0,0,0
360,11291,38,1,6,9,0,41,2,0,51,1,0,1,0,2,2,284,0,0,0,0,4,0,0,1,0,0,0,0,27,7,10,2,0,1,0,0,0,1,17,17,25,0,0,0,0,0,1,13,9,1,0,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,48,0,25,371,493,0,0,3,3,0,0,0,4,0,0,0,0,0,4,275,0,1,1,0,0,0,1,0,0,0,0,0,2,5,0,0,12,0,27,4,0,0,0
370,11336,33,0,9,5,0,23,1,0,24,0,2,0,0,3,0,242,0,0,0,0,2,0,1,0,0,0,0,0,14,5,6,0,0,0,0,0,0,2,6,4,30,0,0,0,0,0,0,15,10,0,0,0,0,2,0,1,0,0,1,0,2,2,0,0,0,0,37,0,40,209,381,0,0,0,2,0,0,0,2,0,0,0,0,0,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,15,7,0,1,0
375,11357,35,0,0,3,3,20,0,0,23,1,3,0,1,4,2,252,0,0,0,0,0,0,2,0,1,0,0,0,18,2,10,2,0,0,0,0,0,2,12,4,41,0,0,0,0,0,0,12,7,1,0,0,0,6,0,0,0,0,0,1,1,1,0,1,0,0,32,0,41,230,222,0,0,2,6,0,0,0,0,0,1,0,0,0,1,111,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,1,11,8,0,1,0
380,11378,34,0,1,0,0,13,3,0,35,0,2,0,0,1,3,359,0,0,0,0,1,0,1,1,0,0,0,0,17,3,11,2,0,1,0,0,0,6,6,5,38,0,0,0,0,0,0,19,9,2,0,0,0,4,0,0,0,1,2,1,7,2,0,0,0,0,41,0,48,100,261,0,0,1,4,0,0,0,5,0,1,1,0,0,1,106,0,0,0,0,0,0,3,0,0,0,0,0,3,3,1,0,8,0,4,3,0,0,0
389,11419,54,0,1,0,0,14,0,0,36,1,1,0,0,3,2,265,0,2,0,0,0,1,0,0,0,0,0,0,20,4,3,2,0,2,0,0,0,1,14,5,25,0,0,0,0,0,1,16,20,0,0,0,0,4,0,0,0,2,1,0,8,0,0,0,0,1,21,0,60,159,206,0,0,2,3,0,0,0,5,0,2,0,0,0,0,91,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,2,16,10,0,0,0
400,11481,33,0,0,2,0,3,0,0,29,0,2,0,0,4,1,113,1,0,0,0,0,0,1,0,0,0,0,1,23,1,13,0,0,0,0,0,0,0,5,1,15,0,0,0,0,0,0,7,19,1,0,0,0,15,0,0,0,0,1,2,3,1,0,0,0,1,22,0,91,64,149,0,0,0,3,0,1,0,4,0,0,0,0,0,1,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,8,5,0,0,0
410,11557,31,0,0,0,0,4,2,0,69,0,1,0,0,2,2,195,0,0,0,0,1,0,0,0,0,0,0,0,15,9,10,2,0,1,5,0,0,0,12,2,10,0,0,0,1,0,0,13,56,2,0,0,0,15,0,0,0,7,9,1,5,1,0,0,1,0,18,0,95,79,164,0,0,0,1,0,0,0,9,0,0,0,0,0,2,46,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,12,0,7,3,0,0,1
420,11657,22,0,0,0,0,1,1,0,35,0,0,0,0,1,2,112,0,0,0,0,1,0,0,0,0,0,0,0,8,5,19,0,0,1,1,0,0,0,18,0,8,0,0,0,0,0,0,10,68,0,0,0,0,13,0,0,0,3,8,0,2,0,0,0,0,1,12,0,77,20,122,0,0,0,5,0,0,0,1,0,2,0,0,0,2,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7,0,2,0,0,0,0
425,11718,15,0,0,1,0,1,1,0,48,0,1,0,0,4,5,103,0,0,0,0,0,1,0,0,0,0,0,1,11,4,9,2,0,0,3,0,0,0,10,0,8,0,0,0,0,0,0,1,94,0,0,0,0,7,0,0,0,4,4,4,2,0,0,0,0,1,21,0,96,23,108,0,0,0,5,0,1,0,1,0,0,1,0,0,1,26,1,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,8,1,7,2,0,0,0
440,11954,54,0,0,0,0,3,0,0,83,0,0,0,0,3,3,167,0,0,0,0,1,1,0,0,0,0,0,0,9,4,15,5,0,1,2,0,0,0,9,3,9,0,0,0,1,0,0,6,105,0,0,0,0,6,0,0,0,2,5,0,0,0,0,0,0,0,16,0,166,25,123,0,0,0,6,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,11,0,2,1,0,0,0
450,12163,45,0,0,0,0,0,0,0,77,1,1,0,0,5,0,117,1,0,0,0,0,0,1,0,0,0,0,0,11,2,18,1,0,0,0,0,0,0,12,1,5,0,0,0,0,0,0,3,40,4,0,0,0,9,0,1,0,3,1,1,0,0,0,0,0,0,29,0,194,13,116,0,0,0,10,0,0,0,8,0,1,0,0,0,0,36,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,4,0,6,8,0,0,0
460,12420,37,0,1,0,0,2,0,0,40,0,2,1,0,4,3,41,0,0,0,0,1,0,1,0,0,0,0,0,3,13,22,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,12,34,0,0,0,0,2,0,0,0,1,4,0,3,0,0,0,0,0,35,1,175,13,129,0,0,0,10,0,0,0,10,0,1,0,0,0,0,46,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,6,4,2,0,0
470,12730,4,0,0,0,0,0,0,0,1,0,0,1,0,1,5,13,0,0,3,0,0,0,0,0,0,0,0,0,3,11,41,0,0,0,0,0,1,0,9,0,3,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,1,130,1,56,0,0,0,11,0,0,0,1,0,4,0,0,0,0,20,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,4,6,3,0,0
475,12903,1,0,0,0,0,0,0,0,5,0,2,0,0,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,3,2,44,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,42,0,35,0,0,0,5,1,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,0,7,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0
480,13083,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,32,0,0,0,8,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
