"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brassicaceae","Carya","Caryophyllaceae","Cheilanthes","Cornus","Corylus","Cupressaceae","Cyperaceae.undiff.","Dalea.purpurea","Drosera","Dryopteris.type","Ephedra","Equisetum","Euphorbia","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Hippuris.vulgaris","Humulus","Indeterminable","IsoÃ«tes","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lemna","Lycopus.type","Myriophyllum.sibiricum.type","Nuphar","Osmunda","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.amphibium","Polygonum.arenastrum.type","Polygonum.lapathifolium.type","Polygonum.viviparum.type","Populus.balsamifera.type","Populus.tremuloides.type","Portulaca","Pteridium","Quercus","Ranunculaceae.undiff.","Rhus","Rhynchospora","Rosaceae","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Triglochin","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Vitis","Xanthium"
383.5,-31,0,6,0,0,0,8,0,15,52,0,0,11,2,0,0,18,0,0,0,0,0,3,0,20,0,0,0,0,0,22,0,3,1,0,0,2,19,0,1,1,0,4,0,2,0,1,0,3,2,29,1,19.5,1,27,0,0,0,0,0,7,0,1,3,0,0,2,1,0,0,4,3,0,0,0,0,8,0,0,0,0,0,10,2,0,0,0,0,0
400,2,0,6,0,0,0,7,0,4,90,0,0,13,8,1,0,22,0,0,7,1,0,5,0,8,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,1,0,11,1,28.5,0,25,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,6,10,0,0,0,0,0
432,67,0,1,0,0,0,15,1,13,73,0,0,14,0,0,0,25,0,0,0,0,0,7,0,9,1,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,1,0,1,6,0,0,6,5,18,2,22.5,0,33,0,0,0,0,0,1,0,0,48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
464,214,0,1,0,2,0,22,0,4,20,0,0,18,0,0,0,37,0,0,0,0,0,13,2,17,0,0,1,0,0,0,0,4,0,0,0,0,2,1,6,1,0,13,1,2,0,0,0,12,8,34,6,26,1,17,0,0,0,0,0,11,0,1,56,0,0,0,1,0,0,4,0,3,1,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0
496,445,0,1,0,0,0,24,3,0,12,1,0,11,1,0,0,34,0,0,3,0,0,13,1,13,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,3,0,0,20,3.5,5,3,31.5,0,30,0,0,0,0,0,6,0,0,58,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0
528,675,0,0,0,0,1,12,4,2,24,1,1,6,0,0,0,50,0,0,0,0,0,8,1,9,0,0,0,0,0,0,0,7,2,0,0,0,5,0,2,0,0,3,0,0,0,0,0,8,4,8,5,25.5,0,25,0,0,0,0,0,0,0,0,77,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,10,0,0,1,0,0
560,905,0,2,0,0,0,10,0,3,11,0,0,11,1,0,0,41,0,0,0,0,0,3,1,22,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,3,4,29,3,14.5,0,35,0,0,0,0,0,3,0,0,89,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0
592,1136,0,2,0,0,0,4,0,2,13,0,0,12,3,0,0,16,0,0,4,0,0,2,0,21,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,4,0,27.5,0,94,0,1,0,0,0,4,0,0,68,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0
624,1366,0,0,0,0,0,6,0,9,10,0,0,13,0,0,0,25,0,0,0,0,0,7,0,10,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,6,0,8,0,11.5,0,102,0,0,0,0,0,2,0,0,91,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
656,1597,0,0,0,1,0,5,0,2,7,0,1,19,0,0,0,19,0,0,0,0,0,5,0,22,0,0,0,0,0,4,0,2,1,0,0,0,3,0,5,0,1,1,1,0,0,1,0,4,1,16,2,7.5,0,206,0,0,0,0,0,1,0,0,59,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,1
688,1853,0,1,0,1,0,7,2,1,15,0,0,19,3,0,0,16,0,0,4,0,0,6,0,18,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0.5,6,1,26.5,0,241,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
714.5,2065,0,0,0,1,0,12,2,2,26,0,0,34,0,0,0,24,0,0,0,0,0,15,0,46,0,0,1,0,0,5,0,2,4,0,0,0,2,0,10,0,0,0,3,2,0,1,0,10,4,24,4,22.5,0,161,0,0,0,0,0,5,0,1,104,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,5,1,0,0,1,1
752,2365,0,2,0,0,0,5,3,6,28,1,0,39,0,0,0,25,0,0,0,0,0,4,1,42,0,0,0,0,0,4,0,5,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,2,3,15,1,21,0,231,0,0,0,0,0,2,0,1,54,0,0,7,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,2,6,1,0,0,0,0
784,2622,0,1,0,0,0,9,0,0,16,0,0,19,6,0,0,22,0,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,1.5,3,0,18,1,92,0,0,0,0,0,2,0,0,42,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,7,0,0,0,0,0
816,2878,0,0,0,1,1,1,1,3,12,0,0,17,0,0,0,16,0,0,0,0,0,4,1,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,8,0,1,6,7,0,158,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0
848,3134,0,1,0,0,0,9,2,2,14,0,0,16,0,0,0,9,0,0,0,0,0,4,4,13,1,0,0,0,0,0,0,3,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,9,0,6.5,0,284,0,0,0,0,0,3,0,0,35,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0
878,3374,0,4,0,0,1,15,0,3,27,0,0,27,14,0,0,25,0,0,9,0,0,7,0,0,0,0,0,2,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,3.5,6,1,25.5,0,133,0,0,0,0,0,6,0,0,59,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,4,1,0,0,0,0
912,3671,0,12,0,0,1,0,1,6,30,0,0,25,13,0,0,26,0,2,0,0,0,1,0,17,0,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,1.5,2,4,32,0,69,0,0,0,0,0,2,0,0,85,0,0,0,0,0,0,2,0,1,0,0,0,1,0,3,6,0,0,1,5,1,0,0,1,0
946,4013,0,1,1,0,1,2,2,9,26,0,0,32,0,0,0,27,0,0,0,0,0,3,1,29,1,0,0,0,0,9,0,1,5,0,0,0,5,0,15,0,0,0,0,0,0,0,0,5,2,23,0,12.5,0,107,0,0,0,0,2,1,0,0,65,0,0,12,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,1,8,0,0,0,2,0
975,4304,0,1,0,0,0,7,0,2,24,1,0,56,4,0,0,8,0,0,7,0,0,1,0,21,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,3,0,19,0,88,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,5,2,0,0,1,0
1008,4636,0,1,0,0,0,3,7,14,10,1,0,86,8,0,0,7,0,1,0,0,0,2,2,23,1,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,3,0,0,5,19,0,116,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1,0
1040,4958,0.5,1,0,0,0,3,2,9,26,0,0,57,0,0,0,11,1,0,0,0,0,2,0,20,0,0,0,0,0,4,0,6,0,0,0,0,1,0,6,0,0,0,0,2,0,1,0,2,0,18,3,9,0,100,0,0,0,0,0,0,0,0,33,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
1072,5280,0,0,0,0,0,3,2,0,50,1,0,66,5,0,0,2,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.5,0,130,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1104,5601,0,1,0,0,0,1,0,15,44,0,0,69,10,0,0,2,0,0,0,0,0,1,0,28,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,1,0,0,3,1,2,1,17.5,0,84,0,0,0,0,0,6,0,0,51,0,0,0,0,1,0,8,0,1,0,0,0,6,0,0,1,0,0,6,4,0,0,0,0,0
1136,5923,0,0,0,0,0,3,2,13,30,0,0,44,0,0,0,8,0,0,0,0,0,2,0,25,0,0,0,0,0,5,0,0,3,1,0,0,1,0,7,0,0,0,5,2,0,0,0,0,0,4,1,16.5,0,107,0,0,0,0,1,1,1,0,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0
1168,6243,0,1,0,0,0,4,0,1,13,4,0,73,6,0,0,3,0,0,17,0,0,3,0,22,0,0,0,0,0,4,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,2.5,1,0,20,0,87,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1,0,0,1,0
1200,6547,0,3,0,0,0,2,0,7,23,0,0,56,6,0,0,2,0,0,1,0,1,2,0,9,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,1,1,0,0,0,5,1,9,2,14,0,60,0,0,0,0,0,5,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,1,10,3,0,0,2,0
1232,6852,0,1,0,0,0,1,0,10,20,0,0,33,1,1,0,10,0,0,0,0,1,0,1,30,0,0,0,0,0,5,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,2,17.5,0,97,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0
1264,7156,0,3,0,0,0,5,0,1,37,0,1,154,11,0,0,8,0,1,15,0,0,0,0,23,0,0,1,0,8,0,0,0,9,0,0,0,6,0,0,0,0,2,0,0,0,0,0,5,2,9,0,30.5,0,131,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,3,14,2,0,0,1,0
1292,7422,0,0,0,1,0,3,0,9,41,0,2,102,6,0,0,4,0,0,1,0,0,1,0,13,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1.5,2,2,13.5,0,64,0,0,0,0,0,6,0,0,29,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
1328,7764,1,0,0,0,0,1,0,15,52,2,0,113,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,3,0,12.5,0,49,0,0,0,0,0,2,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0
1360,8068,0,2,0,0,0,2,0,0,44,4,0,85,6,0,0,2,0,0,18,0,0,4,0,25,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,7,0,25,0,57,0,0,0,1,0,5,0,0,21,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,9,0,0,0,0,0
1388.5,8339,0,1,0,0,0,0,0,24,37,1,0,48,1,0,0,6,0,0,0,0,2,4,0,55,0,0,0,0,0,0,0,2,2,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,2,33,1,22.5,0,82,0,0,0,0,0,2,0,0,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,10,0,0,0,0,0
1424,8676,0,1,0,0,0,3,0,17,27,0,0,50,1,0,0,11,0,0,0,0,0,4,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,3,20,0,24.5,0,76,0,0,0,0,4,1,0,0,30,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,5,16,0,0,0,1,0
1456,8981,0,1,0,0,0,3,0,1,43,1,0,59,2,0,0,4,0,0,20,0,0,7,0,10,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,8,0,29,0,50,0,0,0,0,0,2,0,0,31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,14,2,0,0,1,0
1488,9285,0,0,0,0,0,4,1,5,14,0,0,41,4,1,0,22,0,1,1,0,0,6,0,17,0,0,6,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0.5,41,2,52.5,0,40,0,0,0,0,0,9,0,1,15,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,11,1,1,0,0,0
1520,9990,0,1,0,0,1,2,0,3,9,0,0,4,0,0,1,20,0,1,0,0,0,8,0,15,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,2,148,0,17.5,0,12,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,42,0,0,0,1,0
1552,10789,0,3,0,0,0,6,0,1,2,0,0,6,1,0,0,40,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,2,0,1,0,0,0,0,0,5,9,59,2,140.5,0,3,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0
1600,11675,1,2,0,0,0,6,0,2,2,0,0,19,0,0,0,39,0,1,0,0,0,8,5,31,0,0,2,0,0,0,0,22,0,0,1,0,0,0,3,0,0,7,0,1,1,0,0,0,87.5,13,1,7,0,14,0,0,0,0,5,16,0,0,13,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0
1616,11970,1,6,0,0,0,2,1,5,10,0,0,21,0,0,0,57,0,0,0,0,0,4,1,15,0,0,0,0,0,2,0,25,1,0,0,0,4,0,0,0,0,14,0,2,1,0,0,2,109.5,14,0,0,0,21,0,0,0,0,8,8,0,0,15,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,19,0,0,0,0,0
1648,12189,0,1,0,0,0,9,0,0,2,0,0,9,5,0,0,33,0,1,2,0,0,0,0,12,2,0,1,0,0,0,0,0,6,0,0,0,5,0,0,0,0,7,0,0,0,0,0,7,142,3,0,2,0,14,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,14,2,0,0,0,0
1696,12390,0,3,0,0,0,6,2,0,5,0,0,14,3,0,0,28,0,1,2,0,0,2,0,10,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,1,0,0,1,0,0,7,282,2,2,9,0,9,0,0,0,0,0,7,0,0,8,0,0,0,1,0,0,4,0,0,0,0,0,6,1,1,0,0,0,0,4,1,0,0,0,0
1728,12523,0,0,0,0,0,2,0,1,1,0,0,18,1,1,0,15,0,0,0,0,1,0,0,35,0,1,0,0,1,1,0,4,1,0,0,0,1,0,3,0,0,2,0,3,0,0,0,0,174,0,0,3,0,26,0,0,0,0,6,11,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,7,0,0,0,0,0
1760,12657,0,2,0,0,0,6,2,0,3,0,0,21,5,0,0,14,0,0,1,0,0,3,0,9,0,0,1,0,0,0,0,0,5,0,0,0,5,0,0,0,0,8,0,0,0,0,0,4,175.5,1,0,2,0,17,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
1792,12791,0,0,0,0,0,1,2,2,6,0,0,31,2,0,0,18,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,3,180,0,0,6.5,0,20,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,1,0,0
1824,12924,1,0,0,0,0,8,0,3,3,0,0,8,0,1,1,19,0,0,0,0,0,2,1,19,0,0,2,0,1,0,0,4,1,0,0,0,1,0,1,0,0,7,0,4,0,0,0,2,239,1,0,0,0,8,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0
1856,13058,0,1,0,0,0,1,3,0,5,0,0,24,2,0,0,14,0,0,3,0,0,0,1,13,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,229,1,2,1,0,9,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1888,13192,0,2,0,0,0,2,1,0,9,0,1,18,1,0,0,5,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,0,0,0,7,206,1,2,4.5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0
1920,13325,0,0,0,0,0,0,0,1,8,0,0,13,0,1,0,3,0,0,0,0,0,1,0,21,0,0,0,0,0,2,0,5,2,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,183.5,0,0,4,0,22,0,0,0,0,8,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1949,13446,0,0,0,0,0,0,0,2,11,0,0,21,0,0,0,2,0,1,0,0,0,0,2,23,1,0,3,0,0,2,0,16,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,168.5,0,0,0,0,26,1,0,0,0,9,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0
1957,13480,0,0,0,1,0,1,2,1,26,0,0,44,0,1,0,2,0,0,0,0,0,17,0,45,0,0,3,0,1,9,0,34,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,4,197,0,0,0,0,20,0,0,1,0,25,0,0,0,8,1,0,0,2,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,1,0,0
