"sample.depths","sample.ages","upland.sum","Betula","Carya","Ericaceae","Ilex","Juglans.cinerea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Poaceae","Plantago","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Acer.rubrum","Ostrya.Carpinus","Salix","Populus","Amaranthaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Acer.undiff.","Juglans.nigra","Corylus","Nyssa","Picea","Tilia.americana","Cupressaceae","Artemisia","Caryophyllaceae","Rubus","Lamiaceae","Apiaceae","Oenothera","Cyperaceae","Polygonum","Asteraceae.subf..Cichorioideae","Verbena","Abies","Thalictrum","Sanguisorba"
10,45,347,37,6,4,2,3,1,3,12,163,1,6,7,19,43,11,3,16,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,89,330,58,7,0,1,6,0,6,8,112,1,13,5,20,38,1,2,21,3,2,10,2,2,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,134,369,34,9,0,0,3,3,2,20,134,1,31,4,32,28,3,5,15,3,11,18,3,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,178,357,41,10,1,2,4,0,2,27,115,0,3,4,26,31,2,2,18,1,19,29,8,3,1,0,0,0,0,0,0,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,257,361,32,12,0,1,3,1,6,37,165,2,10,2,19,4,3,2,2,0,2,43,4,0,1,1,1,0,1,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,370,286,28,11,0,0,1,0,2,29,150,0,2,2,8,2,1,12,4,0,4,16,5,0,2,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,482,361,43,34,0,0,1,0,3,23,177,0,3,5,5,0,0,2,0,0,8,30,11,0,3,1,0,0,1,0,1,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,595,353,37,28,0,0,2,0,2,24,184,0,0,2,11,0,0,3,0,0,5,40,9,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,708,321,29,13,1,2,2,0,0,11,199,0,1,0,13,1,0,0,2,0,8,12,11,0,8,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,821,321,43,6,0,0,5,1,0,8,200,0,5,2,8,2,1,5,2,0,11,5,5,3,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,934,383,40,22,1,0,2,0,0,20,201,0,4,2,13,0,3,4,1,0,22,14,12,2,6,1,0,0,0,0,0,5,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1046,333,31,28,1,0,3,0,0,30,155,0,6,5,4,2,0,1,1,0,15,19,19,0,1,0,4,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1159,334,33,18,0,0,3,0,0,14,204,0,4,6,9,0,6,1,0,0,10,8,11,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1272,269,26,19,2,0,0,1,0,24,138,0,4,4,12,0,5,4,2,0,8,8,4,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1385,354,31,19,1,0,0,0,2,20,214,0,1,3,10,0,10,1,1,0,14,4,10,2,1,0,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1498,374,47,28,0,1,1,0,0,21,202,0,2,3,18,0,6,0,0,0,7,9,17,0,5,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1611,327,29,18,0,0,2,0,0,22,193,0,0,2,9,1,3,1,5,0,3,14,11,0,0,1,4,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1723,347,38,24,0,1,3,0,0,24,189,0,2,4,11,0,1,10,4,0,4,18,5,0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,1836,364,24,11,0,0,2,0,0,18,213,0,5,6,13,0,10,6,3,0,10,10,14,2,4,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1949,370,32,19,1,0,0,0,0,22,197,0,2,6,15,0,9,1,1,0,7,16,19,0,8,2,0,0,0,0,2,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1998,380,48,18,0,0,3,0,0,28,186,0,2,4,24,0,7,4,1,0,14,17,17,0,0,0,1,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2039,342,27,8,0,0,0,0,1,10,189,0,2,7,13,0,10,3,3,0,17,5,26,0,9,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2081,306,20,8,0,1,1,0,1,21,150,0,0,4,22,0,5,8,0,0,19,15,13,0,9,1,0,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2122,317,43,21,0,0,5,4,0,17,142,0,2,1,13,0,4,7,0,0,17,18,10,4,1,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2164,326,35,11,0,0,2,0,6,30,162,0,2,2,17,0,6,1,2,0,11,12,9,2,9,0,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2205,359,28,13,1,0,3,0,2,18,173,0,3,8,25,0,5,6,1,1,22,7,18,1,8,0,0,0,1,0,0,7,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
235,2247,339,27,23,0,0,2,0,0,28,163,0,4,3,14,0,11,5,1,0,11,18,13,0,6,0,1,0,2,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,2288,325,30,9,1,0,0,0,0,13,182,0,1,7,12,0,10,7,1,0,18,1,14,0,5,0,2,0,1,0,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,2330,330,29,27,0,1,0,0,0,26,187,0,1,4,5,0,3,1,0,0,5,12,19,0,6,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2371,334,28,13,1,1,3,0,2,14,175,0,1,7,17,0,9,2,1,1,28,5,14,0,7,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2413,315,24,27,1,2,1,0,0,25,179,0,0,2,11,0,2,2,0,0,6,20,6,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,2454,358,30,23,0,0,0,0,0,15,187,0,1,7,30,0,3,7,3,0,14,7,14,4,6,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2496,351,42,3,0,2,0,0,0,11,185,0,3,3,29,0,12,9,3,0,20,4,8,3,5,3,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2537,333,27,24,0,1,3,0,1,14,152,0,1,6,25,0,3,3,1,0,26,8,11,1,8,0,4,1,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2579,300,42,2,0,0,0,0,0,1,126,0,0,3,38,0,21,7,0,2,19,1,6,2,13,3,2,0,0,0,0,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2620,330,26,13,0,0,3,0,0,12,167,0,2,6,34,0,3,0,2,0,13,7,15,0,4,1,1,0,0,1,0,5,0,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
285,2662,329,44,4,0,0,1,0,0,6,199,0,2,6,19,0,8,3,2,1,18,4,2,1,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
290,2703,363,36,17,1,1,3,0,1,20,181,0,2,3,17,0,9,2,2,0,21,6,22,2,5,0,1,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,2744,326,27,4,0,0,1,0,0,3,202,0,7,3,22,0,15,2,2,0,15,2,2,0,9,0,1,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2806,299,23,13,0,0,1,2,0,11,171,0,2,5,19,0,1,11,1,0,10,6,13,0,2,1,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2888,370,39,24,2,0,1,0,1,36,188,0,0,2,14,0,7,4,1,1,6,23,17,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2970,373,29,16,0,0,1,0,0,14,210,0,1,9,22,0,6,4,4,0,19,5,13,0,3,0,1,0,1,0,0,2,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,3053,335,47,1,0,0,1,0,0,7,174,0,3,6,30,0,21,4,1,0,14,5,6,0,5,2,2,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
320,3135,337,29,27,0,0,1,0,1,30,150,0,3,9,15,0,6,3,1,0,16,3,24,0,5,2,0,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3217,332,43,4,0,0,1,0,1,14,160,0,3,9,17,0,13,2,2,1,9,4,11,0,11,2,2,0,0,1,0,8,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
330,3299,323,35,9,0,1,0,0,0,12,154,0,2,6,22,0,8,0,0,0,26,0,13,0,13,2,1,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
335,3381,338,45,2,0,1,1,0,0,8,178,0,0,5,22,1,10,3,2,0,17,4,15,0,11,1,2,2,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
340,3463,297,39,13,1,0,1,1,0,21,126,0,3,6,15,0,2,9,0,0,19,7,12,3,4,2,0,0,0,1,0,4,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
345,3545,446,47,33,0,0,4,0,3,26,187,0,1,4,20,1,21,2,3,2,13,14,38,1,9,0,1,0,0,1,0,8,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3627,368,38,11,0,1,3,0,3,13,189,0,0,7,19,0,11,5,2,0,22,6,22,0,6,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,3709,306,39,5,0,0,1,0,1,11,125,0,4,3,30,0,21,0,2,1,28,3,3,1,7,3,4,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3791,421,38,13,0,2,0,0,5,27,204,0,3,2,18,0,4,2,2,0,36,11,29,1,7,2,1,0,0,3,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,3873,340,32,23,0,0,0,0,4,27,156,0,2,8,20,0,14,5,1,0,18,4,12,2,1,1,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,3956,395,27,7,0,0,4,0,0,5,208,0,2,6,27,0,12,0,1,0,50,3,19,0,6,1,0,0,0,0,0,7,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4038,283,19,6,0,1,0,0,0,10,105,0,5,4,21,0,39,2,1,0,32,6,10,0,11,1,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,4120,326,15,15,0,1,1,2,0,20,188,0,5,5,12,0,8,5,4,0,12,4,6,0,7,1,5,0,1,0,0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
385,4202,340,7,21,0,0,1,0,1,10,210,0,2,7,13,0,13,0,0,0,13,8,8,0,9,0,0,0,0,0,0,7,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
390,4284,356,18,10,0,0,4,0,0,10,232,0,1,6,10,0,8,0,0,0,13,3,20,1,5,1,2,1,0,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,4366,353,12,15,1,0,1,0,0,17,219,0,2,3,23,0,11,2,3,0,9,4,13,0,5,0,1,0,0,1,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4448,362,18,14,0,0,0,0,1,26,221,0,0,3,16,0,8,1,2,0,17,6,11,0,5,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
405,4496,340,15,14,0,0,3,0,2,20,189,0,3,4,25,0,6,1,0,0,24,2,10,2,7,0,0,0,2,2,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410,4543,350,6,8,0,0,1,0,0,8,203,0,3,7,15,0,18,0,4,0,25,1,15,0,13,0,1,0,0,0,0,7,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,4591,334,4,16,0,0,1,0,0,16,201,0,6,8,11,0,12,3,2,0,26,4,7,0,5,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,4639,321,16,13,0,0,1,1,0,8,178,0,1,2,21,0,6,2,5,1,27,2,5,1,3,6,6,1,0,0,0,5,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
425,4686,398,11,31,0,1,2,0,3,26,233,0,4,5,18,0,12,2,1,0,16,4,15,0,8,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,4734,320,5,16,0,0,3,0,1,13,195,0,3,7,9,0,10,1,0,0,18,5,13,0,6,0,0,0,0,0,0,6,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,4781,363,9,20,0,1,4,0,0,20,214,0,4,8,10,0,14,1,2,0,11,12,9,0,10,0,0,0,1,0,0,5,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
440,4829,323,11,16,0,0,1,0,4,24,196,0,2,2,17,0,5,5,0,0,7,6,12,0,3,1,1,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
445,4877,333,4,21,0,0,0,0,0,32,183,0,2,3,25,0,3,4,2,0,9,9,14,0,7,0,0,0,1,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,4924,343,5,12,0,0,0,0,0,10,231,0,3,5,20,0,6,1,1,0,13,5,10,0,7,0,5,0,0,0,0,3,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455,4972,302,12,12,0,0,1,0,0,11,193,0,2,7,9,0,10,0,2,0,5,5,10,0,8,0,3,1,0,0,0,4,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,5019,305,13,17,2,0,1,1,0,7,189,0,1,8,15,0,9,5,1,0,5,9,13,1,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,5067,318,13,9,0,0,1,0,2,13,205,0,2,5,24,0,8,1,2,0,10,4,8,1,2,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,5115,325,6,10,0,0,0,0,0,4,219,0,5,2,18,0,7,2,0,1,9,8,11,0,12,0,1,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,5162,438,20,10,0,0,0,0,1,19,300,0,4,3,24,0,8,3,0,0,15,11,8,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
480,5210,392,10,12,2,2,1,0,0,20,238,0,3,4,18,1,13,0,1,0,8,13,12,0,12,2,0,1,0,1,0,9,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
485,5257,351,14,17,0,1,1,0,3,11,210,0,3,7,18,0,8,4,0,0,8,8,12,0,12,1,0,1,1,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,5305,315,10,9,0,0,0,0,1,5,229,0,3,4,16,0,3,0,0,0,4,5,5,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,5353,321,5,13,0,0,0,0,0,11,212,0,2,1,22,0,9,3,0,0,5,9,11,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5400,330,19,23,0,1,2,2,0,10,198,0,6,7,14,0,5,6,10,0,2,6,7,1,1,5,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
505,5466,339,15,11,0,0,2,0,1,11,226,1,5,2,19,0,9,0,1,0,5,4,13,0,10,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5531,352,4,7,0,2,3,0,0,14,221,0,3,2,24,0,19,0,0,0,2,8,8,0,20,1,0,0,0,1,0,2,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
515,5596,315,11,10,0,0,1,0,0,10,210,0,4,5,23,0,10,1,2,0,3,4,9,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,5662,341,5,17,0,0,0,0,0,15,207,0,1,8,19,0,13,0,1,0,5,14,12,0,19,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,5727,329,12,13,1,1,0,0,0,19,210,0,0,11,19,0,6,1,0,0,4,15,7,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
530,5792,320,9,9,0,0,0,0,0,9,214,0,3,5,23,0,11,0,0,1,5,6,8,0,12,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,5858,359,3,15,0,1,0,0,0,20,235,0,4,6,13,0,8,1,0,0,1,31,12,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
