"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Dryas","Epilobium.type","Galium","Humulus","Impatiens","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Xanthium"
0,-45,126,0,0,1,1,9,1,0,0,1,0,0,3,0,0,0,0,0,9,4,0,0,0,21,0,0,5,2,0,0,0,3,1,1,0,17,0,5,1,0,0,29,0,0,1,0,0,1,10,0,0,0,0,0,0
20,934,102,0,0,1,1,5,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,4,0,49,0,0,5,0,0,0,0,4,1,2,0,17,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
30,1423,100,0,0,0,2,7,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,54,0,0,5,0,0,0,0,2,0,12,0,9,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
50,2401,291,0,0,8,1,26,2,0,0,0,4,0,0,0,1,5,0,0,6,3,0,37,0,95,0,0,72,0,0,0,0,14,1,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3380,300,0,1,28,2,24,0,0,0,0,2,0,1,1,2,2,0,0,1,3,0,32,0,37,0,2,133,2,0,0,0,4,1,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3869,309,0,1,10,0,15,0,0,0,0,3,0,0,1,0,1,1,0,1,0,0,39,0,112,0,0,102,0,0,0,0,1,0,17,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4358,349,0,0,2,1,49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,27,0,161,0,0,72,1,0,0,0,1,1,22,0,6,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4848,327,0,0,3,1,20,2,0,0,0,1,0,0,0,6,0,0,2,0,2,0,34,0,165,1,0,55,0,0,0,0,0,1,30,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5337,335,0,0,4,0,22,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0,34,0,201,0,0,49,1,0,0,0,1,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
120,5826,357,0,0,3,1,25,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,34,1,197,1,0,79,0,0,0,0,0,4,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6315,308,1,0,6,0,17,1,0,0,0,0,0,2,1,3,0,0,0,1,0,0,31,0,156,0,1,52,1,0,0,0,2,5,17,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0
150,7294,285,0,0,4,0,19,0,0,0,0,0,0,2,2,4,0,0,0,0,3,0,39,0,147,1,0,49,0,0,0,0,1,5,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
170,8272,403,1,0,5,0,24,0,0,0,0,0,0,3,1,9,0,1,0,0,2,0,22,0,232,2,0,75,4,0,0,0,0,1,9,0,4,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
200,9085,311,3,0,1,1,22,0,0,0,0,0,0,2,0,10,0,0,0,2,3,0,43,1,134,0,0,59,1,0,0,0,0,12,8,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
220,9408,376,3,0,1,0,19,1,0,0,0,0,0,2,0,15,0,0,0,0,2,0,18,1,220,1,2,68,0,0,0,0,0,5,11,0,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
240,9732,255,1,0,2,0,21,2,0,0,0,0,0,2,0,5,0,0,0,0,3,0,9,2,168,0,0,25,2,0,0,0,0,1,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,9893,301,2,0,5,1,31,3,0,0,0,2,0,1,0,6,0,0,0,0,4,0,17,3,162,0,2,43,0,0,0,0,0,3,8,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
270,10217,288,2,0,3,1,10,2,0,0,0,1,0,0,0,5,0,0,1,0,2,0,13,2,186,0,2,27,0,0,0,0,1,3,16,0,3,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
280,10378,315,2,0,2,1,35,2,0,0,0,2,0,0,0,3,0,0,0,0,5,0,2,5,212,0,1,26,2,0,0,0,0,0,10,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
290,10540,308,4,0,3,0,22,1,0,0,0,1,0,2,0,1,0,1,0,0,1,0,11,2,218,0,0,22,1,0,0,0,0,5,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
300,10702,374,9,0,1,0,70,2,0,0,0,2,0,0,0,7,0,0,0,0,3,0,10,5,178,0,2,54,1,0,0,0,0,4,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,10863,324,3,0,1,0,43,3,0,0,0,4,0,0,0,5,0,0,0,0,5,0,13,2,195,0,1,22,2,0,0,0,0,0,18,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
320,11025,364,10,0,1,1,43,2,0,0,0,2,0,0,0,6,0,0,1,1,4,0,16,6,216,0,4,33,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
330,11187,345,13,0,1,0,65,1,0,0,0,8,0,0,0,8,0,0,2,2,5,0,12,5,172,0,1,28,0,0,0,0,0,1,12,0,1,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
340,11348,300,4,0,1,1,17,3,0,0,0,2,0,0,1,11,0,0,1,3,2,0,11,8,173,0,3,32,1,0,0,0,0,1,18,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
350,11510,278,17,0,5,1,14,0,0,0,0,4,0,0,0,2,0,1,2,0,10,0,4,9,154,0,1,28,2,0,0,0,0,4,9,0,1,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0
360,11606,316,2,0,3,1,6,1,0,0,0,6,0,1,0,4,0,0,1,8,18,0,12,46,144,0,7,19,6,0,0,0,0,1,9,0,4,3,0,0,0,2,7,2,0,0,0,0,0,3,0,0,0,0,0,0
370,11702,267,9,0,3,3,12,2,0,0,0,0,0,1,0,17,0,0,2,3,16,0,9,57,72,0,8,30,6,0,0,0,0,1,2,0,2,2,2,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0
380,11798,242,4,0,1,3,17,1,0,0,0,6,0,0,0,8,0,1,0,5,13,1,3,37,78,0,13,16,6,0,0,1,0,2,9,0,0,2,1,0,0,1,4,1,0,0,0,1,0,5,0,0,0,0,1,1
390,11894,229,1,0,0,5,22,2,0,0,0,3,0,0,0,4,0,1,0,7,7,1,3,52,68,0,5,11,6,0,0,1,0,1,6,0,1,4,1,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,0,0
400,11990,233,3,0,0,3,6,1,0,0,0,0,0,0,0,1,0,0,0,6,10,0,2,115,65,0,3,5,2,0,0,0,0,0,5,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
410,12086,257,8,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,3,11,0,11,121,73,0,0,1,2,0,0,0,0,2,1,0,1,3,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0
420,12182,217,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,155,21,0,0,4,0,0,0,0,0,1,3,0,2,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
440,12374,280,3,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,6,18,0,0,174,18,0,3,5,1,0,0,0,0,2,4,0,7,5,2,1,0,2,20,1,1,0,0,0,0,1,0,0,0,0,0,1
450,12470,216,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,7,153,13,0,2,4,1,0,0,1,0,0,0,0,5,8,1,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0
460,12566,208,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,154,16,0,0,3,1,0,0,1,0,0,0,0,3,6,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
470,12662,218,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,1,0,3,161,14,0,0,2,1,0,0,0,0,0,0,0,3,9,2,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
480,12758,215,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,168,8,0,1,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0
490,NA,250,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,202,16,0,0,3,4,0,0,1,0,0,0,0,7,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
495,NA,235,1,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,3,183,9,0,4,2,6,0,0,0,0,0,0,0,4,2,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0
500,NA,214,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,2,159,10,0,1,5,3,0,0,1,0,0,1,0,7,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
505,NA,207,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,182,2,0,1,1,1,0,0,0,0,0,0,0,5,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
510,NA,204,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,2,136,14,0,0,3,1,0,0,0,0,0,0,0,2,7,2,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,2,0
520,NA,104,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,4,0,1,44,10,0,2,2,4,0,0,2,0,0,1,0,0,7,1,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,1,0
530,NA,201,5,0,0,7,1,0,1,0,0,1,0,0,0,2,0,0,0,9,0,0,6,54,14,0,0,3,11,0,0,0,0,0,1,0,3,18,1,0,0,1,50,3,0,0,0,0,0,6,0,0,0,0,3,1
540,NA,208,2,0,0,1,1,1,0,0,0,6,1,0,1,5,0,0,0,4,0,1,10,41,16,0,4,4,32,0,0,0,0,0,3,0,2,22,2,0,0,1,44,1,0,0,0,0,0,2,0,0,0,1,0,0
550,NA,212,2,0,1,1,5,0,0,0,0,2,0,0,1,14,0,0,0,18,1,0,6,41,22,0,5,4,10,0,1,0,0,0,1,0,9,15,7,0,0,0,39,3,0,0,0,0,0,2,0,0,0,1,1,0
562,NA,254,1,0,0,5,2,1,0,1,0,10,0,0,0,10,0,0,0,19,1,1,12,47,25,0,16,0,21,1,1,3,0,0,7,0,6,3,12,0,0,0,38,6,0,0,0,0,0,1,2,0,0,1,1,0
580,NA,224,3,0,0,4,1,0,0,0,0,4,0,0,0,13,0,0,0,12,0,0,4,71,28,0,5,2,10,0,0,0,0,0,1,2,3,12,5,0,1,0,31,5,0,0,0,0,0,6,0,0,0,0,1,0
590,NA,209,2,0,0,5,1,2,0,0,0,4,0,0,0,3,0,0,0,11,0,0,7,53,56,0,6,2,7,0,0,1,0,0,1,0,1,4,3,0,1,0,29,4,0,0,0,0,0,4,0,0,0,0,1,1
600,NA,209,1,0,0,11,0,0,0,1,0,3,1,0,0,4,0,0,0,9,1,0,6,69,44,0,11,0,10,0,0,0,0,0,4,0,6,3,1,0,0,1,12,4,0,0,0,0,0,3,1,0,0,1,2,0
610,NA,264,1,0,0,11,1,0,0,0,0,2,0,0,0,4,0,0,0,9,0,0,7,115,50,0,3,3,4,0,0,0,0,0,1,0,2,1,3,0,0,2,25,10,0,0,0,0,0,9,0,0,0,0,1,0
620,NA,209,4,0,0,3,1,1,0,0,0,2,0,0,0,1,0,0,0,7,0,0,1,77,75,0,2,2,2,0,0,0,0,0,2,0,0,2,1,0,0,2,19,2,0,0,0,0,0,1,0,0,1,0,1,0
630,NA,219,4,0,0,11,0,1,0,1,0,2,0,0,0,1,0,0,0,4,2,0,5,85,45,0,3,1,3,0,0,0,0,1,6,1,1,12,5,0,2,0,11,2,0,0,0,0,0,9,0,0,0,0,1,0
